Sample	CDS	rRNA	tRNA	tmRNA	ncRNA	ncRNA region	hypothetical	pseudogene	gap	oriC
GCF_040790775.1_ASM4079077v1_genomic	1383.0	3.0	32.0	1.0	2.0	1.0	76.0	16.0	0.0	1.0
GCF_040790785.1_ASM4079078v1_genomic	1347.0	5.0	32.0	1.0	2.0	0.0	55.0	5.0	1.0	1.0
GCF_040790795.1_ASM4079079v1_genomic	1251.0	3.0	32.0	1.0	2.0	0.0	64.0	5.0	0.0	1.0
GCF_040790805.1_ASM4079080v1_genomic	1169.0	3.0	36.0	1.0	2.0	0.0	58.0	11.0	0.0	1.0
GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	1317.0	5.0	32.0	1.0	2.0	0.0	89.0	20.0	0.0	1.0
K89HH	1479.0	3.0	33.0	1.0	2.0	0.0	100.0	6.0	0.0	1.0
UCT109H	1438.0	5.0	32.0	1.0	2.0	0.0	83.0	15.0	0.0	1.0
UCT110H	1343.0	5.0	32.0	1.0	2.0	0.0	62.0	3.0	0.0	1.0
UCT113H	1189.0	5.0	32.0	1.0	2.0	0.0	58.0	3.0	0.0	1.0
UCT124H	1476.0	5.0	32.0	1.0	2.0	0.0	81.0	8.0	0.0	1.0
UCT29H	1547.0	5.0	33.0	1.0	2.0	0.0	84.0	14.0	0.0	1.0
UCT30H	1385.0	5.0	32.0	1.0	2.0	0.0	76.0	5.0	0.0	1.0
UCT31H	1514.0	5.0	32.0	1.0	2.0	0.0	78.0	21.0	0.0	1.0
UCT32H	1459.0	5.0	32.0	1.0	2.0	0.0	63.0	5.0	0.0	1.0
UCT35H	1278.0	5.0	32.0	1.0	2.0	0.0	51.0	2.0	0.0	1.0
UCT50H	1284.0	5.0	33.0	1.0	2.0	0.0	71.0	5.0	0.0	1.0
UCT92H	1512.0	5.0	32.0	1.0	2.0	0.0	67.0	5.0	0.0	1.0
UCT95H	3042.0	5.0	33.0	1.0	2.0	0.0	2086.0	507.0	0.0	1.0
UCT96H	1451.0	5.0	32.0	1.0	2.0	0.0	81.0	7.0	0.0	1.0
UNY1032P	1428.0	5.0	32.0	1.0	2.0	0.0	78.0	16.0	0.0	1.0
UNY1038P	1354.0	5.0	32.0	1.0	2.0	0.0	63.0	4.0	0.0	1.0
UNY1083P	1405.0	5.0	33.0	1.0	2.0	0.0	84.0	6.0	0.0	1.0
UNY1085P	1350.0	5.0	32.0	1.0	2.0	0.0	75.0	6.0	0.0	1.0
UNY1090P	1377.0	5.0	32.0	1.0	2.0	0.0	55.0	4.0	0.0	1.0
UNY1128P	1399.0	5.0	32.0	1.0	2.0	0.0	77.0	13.0	10.0	1.0
UNY149P	1389.0	5.0	32.0	1.0	2.0	0.0	62.0	4.0	0.0	1.0
UNY169P	1303.0	5.0	33.0	1.0	2.0	0.0	71.0	8.0	0.0	1.0
UNY172P	1298.0	5.0	32.0	1.0	2.0	0.0	61.0	6.0	0.0	1.0
UNY193P	1358.0	5.0	32.0	1.0	2.0	0.0	79.0	16.0	0.0	1.0
UNY203P	1289.0	5.0	32.0	1.0	2.0	0.0	53.0	2.0	0.0	1.0
UNY208P	1376.0	5.0	32.0	1.0	2.0	0.0	55.0	4.0	0.0	1.0
UNY990P	1301.0	5.0	32.0	1.0	2.0	0.0	73.0	11.0	0.0	1.0
URI101H	1513.0	5.0	33.0	1.0	2.0	0.0	91.0	16.0	0.0	1.0
URI102H	1392.0	5.0	33.0	1.0	2.0	0.0	79.0	16.0	0.0	1.0
URI103H	1424.0	5.0	32.0	1.0	2.0	0.0	61.0	3.0	0.0	1.0
URI107H	1479.0	5.0	32.0	1.0	2.0	0.0	86.0	16.0	0.0	1.0
URI111H	1513.0	5.0	32.0	1.0	2.0	0.0	89.0	19.0	0.0	1.0
URI112H	1366.0	5.0	32.0	1.0	2.0	0.0	64.0	3.0	0.0	1.0
URI117H	1299.0	3.0	32.0	1.0	2.0	0.0	65.0	7.0	0.0	1.0
URI118H	1317.0	5.0	32.0	1.0	2.0	0.0	56.0	4.0	0.0	1.0
URI120H	1544.0	5.0	33.0	1.0	2.0	0.0	83.0	12.0	0.0	1.0
URI33H	1272.0	5.0	32.0	1.0	2.0	0.0	71.0	6.0	0.0	1.0
URI34H	1295.0	5.0	32.0	1.0	2.0	0.0	79.0	5.0	0.0	1.0
URI36H	1423.0	5.0	32.0	1.0	2.0	0.0	83.0	6.0	0.0	1.0
URI39H	1542.0	5.0	32.0	1.0	2.0	0.0	88.0	13.0	0.0	1.0
URI40H	1470.0	5.0	32.0	1.0	2.0	0.0	88.0	19.0	0.0	1.0
URI41H	1437.0	5.0	32.0	1.0	2.0	0.0	85.0	15.0	0.0	1.0
URI42H	1422.0	5.0	32.0	1.0	2.0	0.0	75.0	18.0	0.0	1.0
URI44H	1341.0	5.0	32.0	1.0	2.0	0.0	60.0	3.0	0.0	1.0
URI45H	1458.0	5.0	32.0	1.0	2.0	0.0	127.0	6.0	0.0	1.0
URI46H	1363.0	5.0	32.0	1.0	2.0	0.0	62.0	4.0	0.0	1.0
URI47H	1477.0	5.0	32.0	1.0	2.0	0.0	62.0	4.0	0.0	1.0
URI48H	1323.0	5.0	32.0	1.0	2.0	0.0	70.0	5.0	0.0	1.0
URI56H	1187.0	5.0	32.0	1.0	2.0	0.0	68.0	3.0	0.0	1.0
URI86H	1329.0	5.0	32.0	1.0	2.0	0.0	60.0	4.0	0.0	1.0
URI87H	1466.0	5.0	32.0	1.0	2.0	0.0	81.0	15.0	0.0	1.0
URI88H	1502.0	5.0	32.0	1.0	2.0	0.0	68.0	6.0	0.0	1.0
URI89H	1526.0	5.0	32.0	1.0	2.0	0.0	88.0	18.0	0.0	1.0
URI91H	1574.0	5.0	32.0	1.0	2.0	0.0	83.0	15.0	0.0	1.0
URI93H	1426.0	5.0	32.0	1.0	2.0	0.0	84.0	17.0	0.0	1.0
UWI247P	1300.0	5.0	32.0	1.0	2.0	0.0	54.0	4.0	0.0	1.0
UWI248P	1337.0	5.0	32.0	1.0	2.0	0.0	57.0	8.0	0.0	1.0
UWI263P	1372.0	5.0	32.0	1.0	2.0	0.0	50.0	14.0	0.0	1.0
UWI283P	1277.0	5.0	32.0	1.0	2.0	0.0	60.0	10.0	0.0	1.0
XYZ459H	1199.0	5.0	32.0	1.0	2.0	0.0	56.0	5.0	0.0	1.0
roary_pangenome_v5_filtered_nsp	1833.0	0.0	0.0	0.0	0.0	0.0	121.0	5.0	0.0	0.0
roary_pangenome_v5_filtered_sp	4137.0	0.0	0.0	0.0	0.0	0.0	276.0	17.0	1.0	0.0
roary_pangenome_v5_nsp	1911.0	0.0	0.0	0.0	0.0	0.0	266.0	30.0	0.0	0.0
roary_pangenome_v5_nsp-checkpoint	1911.0	0.0	0.0	0.0	0.0	0.0	266.0	30.0	0.0	0.0
