Sample	Length	Count	N50	tRNAs	tmRNAs	rRNAs	ncRNAs	ncRNA_regions	CRISPR_arrays	CDSs	pseudogenes	hypotheticals	sORFs	gaps	oriCs	oriVs	oriTs
GCA_030444985.1_ASM3044498v1_genomic	1007632	4	910563	32	1	5	2	0	0	917	2	19	0	0	1	0	0
GCA_030445005.1_ASM3044500v1_genomic	1007828	4	910422	32	1	5	2	0	0	918	2	22	0	0	1	0	0
GCA_030445025.1_ASM3044502v1_genomic	1008124	4	910663	32	1	5	2	0	0	919	1	21	0	0	1	0	0
GCA_030445065.1_ASM3044506v1_genomic	1006503	4	910229	32	1	5	2	0	0	920	1	22	0	0	1	0	0
GCA_032595375.1_ASM3259537v1_genomic	1007086	4	909591	32	1	5	2	0	0	922	4	26	0	0	1	0	0
GCA_032595515.1_ASM3259551v1_genomic	1004596	4	911399	30	1	5	2	0	0	903	2	25	0	9	1	0	0
GCA_032595535.1_ASM3259553v1_genomic	1005759	4	909722	32	1	5	2	0	0	907	2	24	0	12	1	0	0
GCA_032595755.1_ASM3259575v1_genomic	1006563	4	910071	27	1	5	1	0	0	882	5	33	0	23	1	0	0
GCA_038801875.1_ASM3880187v1_genomic	946504	2	919990	32	1	5	2	0	0	846	2	16	0	0	1	0	0
GCA_040790715.1_ASM4079071v1_genomic	1289159	14	908738	32	1	3	2	0	0	1216	2	51	0	0	1	0	0
GCA_040790735.1_ASM4079073v1_genomic	1391486	18	909471	33	1	3	2	0	0	1359	5	59	0	1	1	0	0
GCA_040790745.1_ASM4079074v1_genomic	1371468	18	902797	33	1	5	2	0	0	1331	11	78	0	3	1	0	0
GCA_040790755.1_ASM4079075v1_genomic	1321156	16	902698	33	1	5	2	0	0	1300	14	69	0	0	1	0	0
GCA_040790765.1_ASM4079076v1_genomic	1397896	19	910079	32	1	5	2	0	0	1369	12	54	0	0	1	0	0
GCA_040790775.1_ASM4079077v1_genomic	1417953	17	907632	32	1	3	2	1	0	1383	16	76	0	0	1	0	0
GCA_040790785.1_ASM4079078v1_genomic	1383845	18	910048	32	1	5	2	0	0	1347	5	55	0	1	1	0	0
GCA_040790795.1_ASM4079079v1_genomic	1325608	16	916773	32	1	3	2	0	0	1251	5	64	0	0	1	0	0
GCA_040790805.1_ASM4079080v1_genomic	1216633	12	907880	36	1	3	2	0	0	1169	11	58	0	0	1	0	0
GCA_040819585.1_PFhe_I_PB_Ill_cons_genomic	1341511	15	910259	32	1	5	2	0	0	1317	20	89	0	0	1	0	0
GCF_000008685.2_ASM868v2_genomic	1521208	22	910724	32	1	5	2	0	0	1508	22	85	0	2	1	0	0
GCF_000021405.1_ASM2140v1_genomic	1345494	15	906707	32	1	3	2	0	0	1327	12	70	0	0	1	0	0
GCF_000166635.1_ASM16663v1_genomic	1339539	17	902191	32	1	5	2	0	0	1311	7	72	0	0	1	0	0
GCF_000166655.1_ASM16665v1_genomic	1531091	21	922801	32	1	5	2	0	0	1519	6	77	0	0	1	0	0
GCF_000171735.2_ASM17173v2_genomic	1453013	27	85309	30	1	3	2	0	0	1441	2	61	0	0	1	0	0
GCF_000172295.2_ASM17229v2_genomic	1344204	53	35743	30	1	3	2	0	0	1302	24	94	0	0	1	0	0
GCF_000172315.2_ASM17231v2_genomic	1294354	26	83077	31	1	7	2	0	0	1252	13	53	0	0	1	0	0
GCF_000172335.2_ASM17233v2_genomic	1485884	24	169176	31	1	3	2	0	0	1475	11	77	0	0	1	0	0
GCF_000181555.2_ASM18155v2_genomic	1469834	32	908814	32	1	4	2	0	0	1418	4	61	0	0	1	0	0
GCF_000181575.2_ASM18157v2_genomic	1321434	20	170966	30	1	5	2	0	0	1306	6	53	0	0	1	0	0
GCF_000181715.2_ASM18171v2_genomic	1295451	25	169491	29	1	3	2	0	0	1255	6	46	0	0	1	0	0
GCF_000181855.2_ASM18185v2_genomic	1427907	54	36967	27	1	6	2	0	0	1411	33	102	0	0	1	0	0
GCF_002151465.1_ASM215146v1_genomic	1288112	12	909921	32	1	5	2	0	0	1274	18	56	0	0	1	0	0
GCF_002151485.1_ASM215148v1_genomic	1301554	11	910728	32	1	5	2	0	0	1305	22	57	0	0	1	0	0
GCF_002151505.1_ASM215150v1_genomic	1341182	13	909921	32	1	5	2	0	0	1339	15	60	0	0	1	0	0
GCF_002442595.2_ASM244259v2_genomic	1409089	19	903654	32	1	5	2	0	0	1379	4	67	0	0	1	0	0
GCF_003367295.1_ASM336729v1_genomic	1280240	16	908512	32	1	5	2	0	0	1237	9	49	0	0	1	0	0
GCF_019134655.1_ASM1913465v1_genomic	1217256	11	909995	32	1	5	2	0	0	1168	6	41	0	0	1	0	0
GCF_019464575.1_ASM1946457v1_genomic	1429304	19	903660	32	1	5	2	0	0	1405	8	68	0	0	1	0	0
GCF_024662155.1_ASM2466215v1_genomic	1392060	18	903249	32	1	5	2	0	0	1357	7	72	0	0	1	0	0
GCF_024662175.1_ASM2466217v1_genomic	1417706	18	920773	32	1	5	2	0	0	1400	5	59	0	0	1	0	0
GCF_024662195.1_ASM2466219v1_genomic	1513701	21	909655	32	1	5	2	0	0	1505	21	86	0	0	1	0	0
GCF_040790715.1_ASM4079071v1_genomic	1289159	14	908738	32	1	3	2	0	0	1216	2	51	0	0	1	0	0
GCF_040790735.1_ASM4079073v1_genomic	1391486	18	909471	33	1	3	2	0	0	1359	5	59	0	1	1	0	0
GCF_040790745.1_ASM4079074v1_genomic	1371468	18	902797	33	1	5	2	0	0	1331	11	78	0	3	1	0	0
GCF_040790755.1_ASM4079075v1_genomic	1321156	16	902698	33	1	5	2	0	0	1300	14	69	0	0	1	0	0
GCF_040790765.1_ASM4079076v1_genomic	1397896	19	910079	32	1	5	2	0	0	1369	12	54	0	0	1	0	0
GCF_040790775.1_ASM4079077v1_genomic	1417953	17	907632	32	1	3	2	1	0	1383	16	76	0	0	1	0	0
GCF_040790785.1_ASM4079078v1_genomic	1383845	18	910048	32	1	5	2	0	0	1347	5	55	0	1	1	0	0
GCF_040790795.1_ASM4079079v1_genomic	1325608	16	916773	32	1	3	2	0	0	1251	5	64	0	0	1	0	0
GCF_040790805.1_ASM4079080v1_genomic	1216633	12	907880	36	1	3	2	0	0	1169	11	58	0	0	1	0	0
GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	1341511	15	910259	32	1	5	2	0	0	1317	20	89	0	0	1	0	0
K89HH	1557782	150	274303	33	1	3	2	0	0	1479	6	100	0	0	1	0	0
UCT109H	1476377	28	910570	32	1	5	2	0	0	1438	15	83	0	0	1	0	0
UCT110H	1417187	114	906810	32	1	5	2	0	0	1343	3	62	0	0	1	0	0
UCT113H	1304891	253	905788	32	1	5	2	0	0	1189	3	58	0	0	1	0	0
UCT124H	1510565	50	900914	32	1	5	2	0	0	1476	8	81	0	0	1	0	0
UCT29H	1559716	24	910485	33	1	5	2	0	0	1547	14	84	0	0	1	0	0
UCT30H	1471861	89	905470	32	1	5	2	0	0	1385	5	76	0	0	1	0	0
UCT31H	1531745	32	910624	32	1	5	2	0	0	1514	21	78	0	0	1	0	0
UCT32H	1501989	57	921072	32	1	5	2	0	0	1459	5	63	0	0	1	0	0
UCT35H	1350407	33	910022	32	1	5	2	0	0	1278	2	51	0	0	1	0	0
UCT50H	1341231	90	902761	33	1	5	2	0	0	1284	5	71	0	0	1	0	0
UCT92H	1537760	62	906713	32	1	5	2	0	0	1512	5	67	0	0	1	0	0
UCT95H	1491903	15	893639	33	1	5	2	0	0	3042	507	2086	0	0	1	0	0
UCT96H	1481271	35	900898	32	1	5	2	0	0	1451	7	81	0	0	1	0	0
UNY1032P	1459435	18	910572	32	1	5	2	0	0	1428	16	78	0	0	1	0	0
UNY1038P	1403595	19	915733	32	1	5	2	0	0	1354	4	63	0	0	1	0	0
UNY1083P	1494188	226	923130	33	1	5	2	0	0	1405	6	84	0	0	1	0	0
UNY1085P	1409080	18	903386	32	1	5	2	0	0	1350	6	75	0	0	1	0	0
UNY1090P	1413250	19	912713	32	1	5	2	0	0	1377	4	55	0	0	1	0	0
UNY1128P	1488312	277	213832	32	1	5	2	0	0	1399	13	77	0	10	1	0	0
UNY149P	1427032	19	915733	32	1	5	2	0	0	1389	4	62	0	0	1	0	0
UNY169P	1346761	17	902773	33	1	5	2	0	0	1303	8	71	0	0	1	0	0
UNY172P	1352494	16	903384	32	1	5	2	0	0	1298	6	61	0	0	1	0	0
UNY193P	1403883	19	910086	32	1	5	2	0	0	1358	16	79	0	0	1	0	0
UNY203P	1326072	17	910084	32	1	5	2	0	0	1289	2	53	0	0	1	0	0
UNY208P	1413253	19	912713	32	1	5	2	0	0	1376	4	55	0	0	1	0	0
UNY990P	1367194	17	902813	32	1	5	2	0	0	1301	11	73	0	0	1	0	0
URI101H	1554475	32	910549	33	1	5	2	0	0	1513	16	91	0	0	1	0	0
URI102H	1442774	44	910559	33	1	5	2	0	0	1392	16	79	0	0	1	0	0
URI103H	1474413	56	921058	32	1	5	2	0	0	1424	3	61	0	0	1	0	0
URI107H	1505434	49	910570	32	1	5	2	0	0	1479	16	86	0	0	1	0	0
URI111H	1539609	23	910611	32	1	5	2	0	0	1513	19	89	0	0	1	0	0
URI112H	1431440	85	903099	32	1	5	2	0	0	1366	3	64	0	0	1	0	0
URI117H	1384478	160	434933	32	1	3	2	0	0	1299	7	65	0	0	1	0	0
URI118H	1380118	109	920957	32	1	5	2	0	0	1317	4	56	0	0	1	0	0
URI120H	1576195	105	910720	33	1	5	2	0	0	1544	12	83	0	0	1	0	0
URI33H	1353948	44	902844	32	1	5	2	0	0	1272	6	71	0	0	1	0	0
URI34H	1376021	79	910082	32	1	5	2	0	0	1295	5	79	0	0	1	0	0
URI36H	1482383	53	927732	32	1	5	2	0	0	1423	6	83	0	0	1	0	0
URI39H	1557202	28	920673	32	1	5	2	0	0	1542	13	88	0	0	1	0	0
URI40H	1509727	82	910602	32	1	5	2	0	0	1470	19	88	0	0	1	0	0
URI41H	1468867	84	914354	32	1	5	2	0	0	1437	15	85	0	0	1	0	0
URI42H	1460998	74	910587	32	1	5	2	0	0	1422	18	75	0	0	1	0	0
URI44H	1417636	75	921082	32	1	5	2	0	0	1341	3	60	0	0	1	0	0
URI45H	1585394	350	38825	32	1	5	2	0	0	1458	6	127	0	0	1	0	0
URI46H	1437550	95	906762	32	1	5	2	0	0	1363	4	62	0	0	1	0	0
URI47H	1512039	29	921203	32	1	5	2	0	0	1477	4	62	0	0	1	0	0
URI48H	1377993	22	902776	32	1	5	2	0	0	1323	5	70	0	0	1	0	0
URI56H	1297641	230	903272	32	1	5	2	0	0	1187	3	68	0	0	1	0	0
URI86H	1406230	88	919077	32	1	5	2	0	0	1329	4	60	0	0	1	0	0
URI87H	1505755	66	910570	32	1	5	2	0	0	1466	15	81	0	0	1	0	0
URI88H	1540602	33	906672	32	1	5	2	0	0	1502	6	68	0	0	1	0	0
URI89H	1553229	85	910720	32	1	5	2	0	0	1526	18	88	0	0	1	0	0
URI91H	1588266	26	910690	32	1	5	2	0	0	1574	15	83	0	0	1	0	0
URI93H	1474340	29	910570	32	1	5	2	0	0	1426	17	84	0	0	1	0	0
UWI247P	1359286	17	912339	32	1	5	2	0	0	1300	4	54	0	0	1	0	0
UWI248P	1387586	18	910022	32	1	5	2	0	0	1337	8	57	0	0	1	0	0
UWI263P	1409038	19	907926	32	1	5	2	0	0	1372	14	50	0	0	1	0	0
UWI283P	1332290	16	903355	32	1	5	2	0	0	1277	10	60	0	0	1	0	0
XYZ459H	1272095	24	903233	32	1	5	2	0	0	1199	5	56	0	0	1	0	0
roary_pangenome_v5_filtered_nsp	1671363	2115	993	0	0	0	0	0	0	1833	5	121	0	0	0	0	0
roary_pangenome_v5_filtered_sp	3347826	4673	876	0	0	0	0	0	0	4137	17	276	0	1	0	0	0
roary_pangenome_v5_nsp	1769304	2762	900	0	0	0	0	0	0	1911	30	266	0	0	0	0	0
roary_pangenome_v5_nsp-checkpoint	1769304	2762	900	0	0	0	0	0	0	1911	30	266	0	0	0	0	0
