Sample	>= 50000 bp	25000-50000 bp	10000-25000 bp	5000-10000 bp	1000-5000 bp	0-1000 bp
GCF_040790785.1_ASM4079078v1_genomic	2.0	12.0	3.0	1.0	0.0	0.0
GCF_040790795.1_ASM4079079v1_genomic	2.0	9.0	5.0	0.0	0.0	0.0
GCF_040790805.1_ASM4079080v1_genomic	2.0	7.0	3.0	0.0	0.0	0.0
GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	2.0	10.0	3.0	0.0	0.0	0.0
K89HH	2.0	13.0	10.0	7.0	34.0	84.0
UCT109H	3.0	13.0	1.0	0.0	0.0	11.0
UCT110H	3.0	7.0	6.0	2.0	9.0	87.0
UCT113H	2.0	3.0	8.0	3.0	8.0	229.0
UCT124H	2.0	13.0	5.0	3.0	2.0	25.0
UCT29H	3.0	15.0	2.0	1.0	1.0	2.0
UCT30H	5.0	8.0	3.0	3.0	5.0	65.0
UCT31H	2.0	17.0	1.0	1.0	0.0	11.0
UCT32H	3.0	11.0	5.0	1.0	7.0	30.0
UCT35H	4.0	5.0	4.0	2.0	2.0	16.0
UCT50H	3.0	5.0	5.0	2.0	7.0	68.0
UCT92H	2.0	17.0	3.0	0.0	1.0	39.0
UCT95H	8.0	6.0	0.0	1.0	0.0	0.0
UCT96H	2.0	13.0	6.0	1.0	2.0	11.0
UNY1032P	3.0	13.0	2.0	0.0	0.0	0.0
UNY1038P	2.0	11.0	5.0	1.0	0.0	0.0
UNY1083P	3.0	6.0	9.0	5.0	10.0	193.0
UNY1085P	2.0	12.0	4.0	0.0	0.0	0.0
UNY1090P	2.0	11.0	6.0	0.0	0.0	0.0
UNY1128P	5.0	6.0	7.0	2.0	10.0	247.0
UNY149P	2.0	12.0	5.0	0.0	0.0	0.0
UNY169P	2.0	10.0	4.0	1.0	0.0	0.0
UNY172P	2.0	10.0	4.0	0.0	0.0	0.0
UNY193P	2.0	13.0	2.0	2.0	0.0	0.0
UNY203P	2.0	10.0	3.0	2.0	0.0	0.0
UNY208P	2.0	11.0	6.0	0.0	0.0	0.0
UNY990P	2.0	11.0	3.0	1.0	0.0	0.0
URI101H	2.0	17.0	2.0	0.0	2.0	9.0
URI102H	3.0	12.0	1.0	0.0	4.0	24.0
URI103H	3.0	9.0	6.0	0.0	1.0	37.0
URI107H	2.0	16.0	1.0	0.0	0.0	30.0
URI111H	3.0	15.0	1.0	0.0	2.0	2.0
URI112H	3.0	7.0	7.0	2.0	5.0	61.0
URI117H	2.0	6.0	8.0	6.0	16.0	122.0
URI118H	2.0	9.0	5.0	2.0	6.0	85.0
URI120H	2.0	15.0	4.0	1.0	8.0	75.0
URI33H	2.0	11.0	2.0	1.0	1.0	27.0
URI34H	2.0	8.0	6.0	2.0	11.0	50.0
URI36H	2.0	11.0	7.0	1.0	4.0	28.0
URI39H	2.0	16.0	3.0	0.0	4.0	3.0
URI40H	2.0	15.0	2.0	2.0	5.0	56.0
URI41H	3.0	12.0	2.0	0.0	4.0	63.0
URI42H	3.0	12.0	2.0	1.0	7.0	49.0
URI44H	2.0	10.0	6.0	1.0	3.0	53.0
URI45H	4.0	13.0	7.0	15.0	57.0	254.0
URI46H	4.0	6.0	6.0	3.0	8.0	68.0
URI47H	4.0	10.0	4.0	1.0	2.0	8.0
URI48H	2.0	12.0	1.0	1.0	0.0	6.0
URI56H	2.0	1.0	7.0	10.0	28.0	182.0
URI86H	3.0	6.0	6.0	2.0	8.0	63.0
URI87H	2.0	16.0	1.0	0.0	5.0	42.0
URI88H	5.0	11.0	4.0	0.0	1.0	12.0
URI89H	2.0	16.0	3.0	1.0	4.0	59.0
URI91H	2.0	18.0	2.0	0.0	1.0	3.0
URI93H	3.0	13.0	1.0	0.0	1.0	11.0
UWI247P	2.0	10.0	5.0	0.0	0.0	0.0
UWI248P	2.0	11.0	5.0	0.0	0.0	0.0
UWI263P	2.0	12.0	4.0	1.0	0.0	0.0
UWI283P	2.0	9.0	5.0	0.0	0.0	0.0
XYZ459H	1.0	9.0	5.0	2.0	3.0	4.0
