#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
JKOCPB_05800	1	765	+	GOIOJP_09260	29.2	9.9		RefSeq:WP_106037628.1, SO:0001217, UniParc:UPI000D02D4CB, UniRef:UniRef100_UPI000D02D4CB, UniRef:UniRef50_O50757, UniRef:UniRef90_O50757
JKOCPB_05950	1	780	+	GOIOJP_09295	29.8	8.7		RefSeq:WP_012666168.1, SO:0001217, UniParc:UPI00016C3988, UniRef:UniRef100_A0A7U4DIR0, UniRef:UniRef90_A0A7U4DIR0
JKOCPB_06180	1	852	+	GOIOJP_09350	32.9	9.8		SO:0001217, UniRef:UniRef50_O50757, UniRef:UniRef90_UPI00016C55D9
JKOCPB_06190	1	276	+	GOIOJP_09360	10.5	6.3		RefSeq:WP_012622534.1, SO:0001217, UniParc:UPI00016B2DC2, UniRef:UniRef100_A0A7U3YBH5, UniRef:UniRef50_A0A7U3YBH5, UniRef:UniRef90_A0A7U3YBH5
JKOCPB_06295	1	354	+	GOIOJP_09440	14.2	9.4		RefSeq:WP_010883945.1, SO:0001217, UniParc:UPI0000057727, UniRef:UniRef100_Q9S019, UniRef:UniRef50_Q44728, UniRef:UniRef90_Q44728
KKBOCN_05235	1	321	+	GOIOJP_09740	12.0	6.1		SO:0001217, UniRef:UniRef50_A0A7U3YBB2
KKBOCN_06145	1	765	+	GOIOJP_09990	29.2	9.9		RefSeq:WP_096890872.1, SO:0001217, UniParc:UPI000BC334A2, UniRef:UniRef100_UPI000BC334A2, UniRef:UniRef50_O50757, UniRef:UniRef90_O50757
KKBOCN_06460	1	285	+	GOIOJP_10035	10.9	9.0	PF05714.15|PFam54_60	PFAM:PF05714.15
KKBOCN_06510	1	591	+	GOIOJP_10055	24.2	10.0		
KKBOCN_06575	1	321	+	GOIOJP_10065	12.2	6.7		SO:0001217, UniRef:UniRef50_UPI001E38D908, UniRef:UniRef90_UPI001FB14519
KKBOCN_06945	1	765	+	GOIOJP_10095	29.1	9.8		RefSeq:WP_012666163.1, SO:0001217, UniParc:UPI000195DFDA, UniRef:UniRef100_UPI000195DFDA, UniRef:UniRef50_O50757, UniRef:UniRef90_O50757
KKBOCN_07005	1	780	+	GOIOJP_10120	29.8	8.7		RefSeq:WP_012666168.1, SO:0001217, UniParc:UPI00016C3988, UniRef:UniRef100_A0A7U4DIR0, UniRef:UniRef90_A0A7U4DIR0
KKBOCN_07090	1	354	+	GOIOJP_10150	14.2	9.4	PF18135.5|Type_ISP_C	PFAM:PF18135.5
JFIHAH_04940	1	687	+	GOIOJP_10295	26.8	6.4		RefSeq:WP_014540128.1, SO:0001217, UniParc:UPI0001F23A08, UniRef:UniRef100_UPI0001F23A08, UniRef:UniRef50_A0A1L8ZAA5, UniRef:UniRef90_A0A1L8ZAA5
JFIHAH_05015	1	450	+	GOIOJP_10345	17.2	5.9		SO:0001217, UniRef:UniRef50_Q9S052
JFIHAH_05060	1	270	+	GOIOJP_10355	10.1	8.9		SO:0001217, UniRef:UniRef50_A0A7M4BKW1
JFIHAH_05110	1	219	+	GOIOJP_10400	8.1	5.4		
JFIHAH_05120	1	528	+	GOIOJP_10410	20.7	9.1		RefSeq:WP_010258620.1, SO:0001217, UniParc:UPI00016B2845, UniRef:UniRef100_A0A0H3C0R6, UniRef:UniRef90_A0A0H3C0R6
JFIHAH_05325	1	396	+	GOIOJP_10465	15.7	8.7		
JFIHAH_05815	1	1638	+	GOIOJP_10540	62.6	4.8		RefSeq:WP_044007771.1, SO:0001217, UniParc:UPI0005C65933, UniRef:UniRef100_UPI0005C65933, UniRef:UniRef50_UPI001E30C40C, UniRef:UniRef90_UPI001E30C40C
JFIHAH_05955	1	468	+	GOIOJP_10580	17.5	8.5		RefSeq:WP_014540534.1, SO:0001217, UniParc:UPI0001F23951, UniRef:UniRef100_UPI0001F23951, UniRef:UniRef50_UPI0001F23951, UniRef:UniRef90_UPI0001F23951
JFIHAH_06200	1	1425	+	GOIOJP_10610	49.9	5.3		
CEMKAM_04275	1	567	+	GOIOJP_10650	20.4	8.4		
CEMKAM_04405	1	303	+	GOIOJP_10655	10.6	9.2		
CEMKAM_05015	1	567	+	GOIOJP_10735	21.8	8.8		RefSeq:WP_010883850.1, SO:0001217, UniParc:UPI00000576EB, UniRef:UniRef100_Q9S073, UniRef:UniRef90_Q9S073
CEMKAM_05020	1	528	+	GOIOJP_10740	20.7	9.1		RefSeq:WP_010258620.1, SO:0001217, UniParc:UPI00016B2845, UniRef:UniRef100_A0A0H3C0R6, UniRef:UniRef90_A0A0H3C0R6
KBFCPJ_00005	1	489	+	GOIOJP_10940	17.8	9.6	PF00933.25|Glyco_hydro_3	PFAM:PF00933.25
KBFCPJ_00215	1	540	+	GOIOJP_10950	21.9	7.7		
KBFCPJ_03165	1	276	+	GOIOJP_10960	10.6	9.4		
KBFCPJ_04665	1	471	+	GOIOJP_11020	18.1	6.1	PF02524.18|KID	PFAM:PF02524.18, RefSeq:WP_012644103.1, SO:0001217, UniParc:UPI00016C3C36, UniRef:UniRef100_A0A7U4DIU5, UniRef:UniRef50_G0ISZ1, UniRef:UniRef90_A0A7U4DIU5
KBFCPJ_05300	1	324	+	GOIOJP_11130	12.5	4.6		SO:0001217, UniRef:UniRef50_C0R8Z5
KBFCPJ_05810	1	807	+	GOIOJP_11245	31.3	9.8		
KBFCPJ_06270	1	231	+	GOIOJP_11330	8.9	8.9		RefSeq:WP_106016912.1, SO:0001217, UniParc:UPI000D041326, UniRef:UniRef100_UPI000D041326, UniRef:UniRef50_UPI000D041326, UniRef:UniRef90_UPI000D041326
KBFCPJ_06310	1	696	+	GOIOJP_11360	27.1	9.5		RefSeq:WP_231028317.1, SO:0001217, UniParc:UPI001E65816C, UniRef:UniRef100_UPI001E65816C, UniRef:UniRef50_UPI001E65816C, UniRef:UniRef90_UPI001E65816C
KBFCPJ_06315	1	267	+	GOIOJP_11365	9.8	7.9		SO:0001217, UniRef:UniRef50_UPI001E3B8E2E, UniRef:UniRef90_UPI001E3B8E2E
KBFCPJ_06330	1	321	+	GOIOJP_11370	12.2	9.0		RefSeq:WP_146125012.1, SO:0001217, UniParc:UPI0011B20E46, UniRef:UniRef100_UPI0011B20E46, UniRef:UniRef50_UPI0011B20E46, UniRef:UniRef90_UPI0011B20E46
KBFCPJ_06340	1	321	+	GOIOJP_11380	11.6	8.6		RefSeq:WP_106016921.1, SO:0001217, UniParc:UPI000D02A54A, UniRef:UniRef100_UPI000D02A54A, UniRef:UniRef50_UPI000D02A54A, UniRef:UniRef90_UPI000D02A54A
KBFCPJ_06345	1	378	+	GOIOJP_11385	14.3	6.5		RefSeq:WP_106016922.1, SO:0001217, UniParc:UPI000D029C5E, UniRef:UniRef100_UPI000D029C5E, UniRef:UniRef50_UPI000D029C5E, UniRef:UniRef90_UPI000D029C5E
KBFCPJ_06440	1	273	+	GOIOJP_11390	11.1	9.6		SO:0001217, UniRef:UniRef50_A0A1L6VV06
KGLOHF_04275	1	294	+	GOIOJP_11440	11.6	9.6		RefSeq:WP_010883902.1, SO:0001217, UniParc:UPI0000057722, UniRef:UniRef100_H7C642, UniRef:UniRef50_H7C642, UniRef:UniRef90_H7C642
EBOALB_04380	1	318	+	GOIOJP_11625	12.2	6.6		SO:0001217, UniRef:UniRef50_A0A7U4DIH7
EBOALB_04880	1	378	+	GOIOJP_11655	14.3	8.9		
MGPBEI_04930	1	351	+	GOIOJP_11820	13.4	9.0		SO:0001217, UniRef:UniRef50_UPI001EE67C96, UniRef:UniRef90_UPI001EE67C96
MGPBEI_04935	1	609	+	GOIOJP_11825	22.7	7.7		RefSeq:WP_238528647.1, SO:0001217, UniParc:UPI0003022FE2, UniRef:UniRef100_UPI0003022FE2, UniRef:UniRef50_UPI0003022FE2, UniRef:UniRef90_UPI0003022FE2
MGPBEI_06505	1	378	+	GOIOJP_12035	14.9	6.2		SO:0001217, UniRef:UniRef50_A0A9N7BD82, UniRef:UniRef90_A0A9N7BD82
MGPBEI_06860	1	528	+	GOIOJP_12175	20.8	9.1		RefSeq:WP_012599439.1, SO:0001217, UniParc:UPI00016B3BBA, UniRef:UniRef100_A0A7I6GXU7, UniRef:UniRef90_A0A0H3C0R6
MGPBEI_06870	1	339	+	GOIOJP_12180	13.2	4.9	PF02524.18|KID	PFAM:PF02524.18
MGPBEI_06945	1	393	+	GOIOJP_12200	15.6	9.7		SO:0001217, UniRef:UniRef50_UPI0001F23DFE, UniRef:UniRef90_UPI0001F23DFE
MGPBEI_07095	1	564	+	GOIOJP_12240	20.5	5.0		SO:0001217, UniRef:UniRef50_A0A1L8Z8R4
MGPBEI_07145	1	411	+	GOIOJP_12270	15.6	5.5		SO:0001217, UniRef:UniRef50_B9X9K7
MGPBEI_07165	1	441	+	GOIOJP_12275	15.2	6.7		
MGPBEI_07175	1	384	+	GOIOJP_12280	14.2	5.4		
MGPBEI_07215	1	255	+	GOIOJP_12290	9.5	4.1		
BKJAFL_05300	1	354	+	GOIOJP_12475	14.1	9.5		RefSeq:WP_010257646.1, SO:0001217, UniParc:UPI00017F34BF, UniRef:UniRef100_UPI00017F34BF, UniRef:UniRef50_Q44728, UniRef:UniRef90_UPI001E40A269
BKJAFL_05450	1	387	+	GOIOJP_12495	15.2	7.8		
BKJAFL_05480	1	426	+	GOIOJP_12500	16.1	5.1		
BKJAFL_05510	1	366	+	GOIOJP_12520	14.3	8.8		RefSeq:WP_010256460.1, SO:0001217, UniParc:UPI00017F37C6, UniRef:UniRef100_UPI00017F37C6, UniRef:UniRef50_UPI001E473841, UniRef:UniRef90_UPI00017F37C6
BKJAFL_05525	1	534	+	GOIOJP_12525	20.6	5.4		
BKJAFL_05530	1	537	+	GOIOJP_12530	21.2	8.5		
BKJAFL_05725	1	498	+	GOIOJP_12540	20.0	9.4		
BKJAFL_06000	1	897	+	GOIOJP_12555	35.6	8.1		
BKJAFL_06040	1	327	+	GOIOJP_12585	12.4	9.3		RefSeq:WP_231017678.1, SO:0001217, UniParc:UPI0002F06007, UniRef:UniRef100_UPI0002F06007, UniRef:UniRef50_A0A1L8ZA64, UniRef:UniRef90_UPI0002F06007
BKJAFL_06045	1	696	+	GOIOJP_12590	27.8	9.9		SO:0001217, UniRef:UniRef50_UPI001E3A252C, UniRef:UniRef90_UPI001E3A252C
