ID	group	gene	percent_ident	alignment_length	E-score
CKDGNL_00465	rnz	gene-BB_RS03825	99.792	960	0.0
CKDGNL_00470	group_3648	gene-BB_RS03820	100.0	930	0.0
CKDGNL_00475	nosY	gene-BB_RS03815	99.592	735	0.0
CKDGNL_00480	gldG	gene-BB_RS03810	99.735	1509	0.0
CKDGNL_00485	DUF4340 domain-containing protein	gene-BB_RS03805	100.0	1014	0.0
CKDGNL_00490	group_3933	gene-BB_RS03800	99.373	1275	0.0
CKDGNL_00495	Septum formation initiator family protein	gene-BB_RS03795	99.346	459	0.0
CKDGNL_00500	group_3231	gene-BB_RS03790	99.694	981	0.0
CKDGNL_00505	yejE	gene-BB_RS03785	100.0	861	0.0
CKDGNL_00510	nth	gene-BB_RS03780	100.0	618	0.0
CKDGNL_00525	Borrelia P83/P100 antigen	gene-BB_RS03765	99.001	2103	0.0
CKDGNL_00530	pQQ	gene-BB_RS03760	99.117	1698	0.0
CKDGNL_00535	uup	gene-BB_RS03755	99.877	1632	0.0
CKDGNL_00540	groES	gene-BB_RS03750	100.0	273	4.57e-140
CKDGNL_00545	mnmC	gene-BB_RS03745	99.853	678	0.0
CKDGNL_00550	group_4089	gene-BB_RS03740	99.66	588	0.0
CKDGNL_00555	valS	gene-BB_RS03735	99.962	2628	0.0
CKDGNL_00560	group_3668	gene-BB_RS03730	99.697	990	0.0
CKDGNL_00565	rlpA	gene-BB_RS03725	99.24	789	0.0
CKDGNL_00570	tsaC	gene-BB_RS03720	99.803	1014	0.0
CKDGNL_00570	tsaC	gene-BB_RS07370	73.333	1005	1.7e-171
CKDGNL_00570	tsaC	gene-BB_RS07400	73.333	1005	1.7e-171
CKDGNL_00570	tsaC	gene-BB_RS07355	73.408	267	1.4e-39
CKDGNL_00575	plzA	gene-BB_RS03715	99.873	786	0.0
CKDGNL_00580	mrcA	gene-BB_RS03710	99.893	2799	0.0
CKDGNL_00585	spo0J	gene-BB_RS03705	100.0	402	0.0
CKDGNL_00590	pgi	gene-BB_RS03700	99.81	1582	0.0
CKDGNL_00595	Transporter, dicarboxylate/amino acid:cation (Na+ or H+) symporter (Daacs) family	gene-BB_RS03695	99.425	1392	0.0
CKDGNL_00600	CoA-disulfide reductase	gene-BB_RS03690	99.775	1332	0.0
CKDGNL_00605	pfkA	gene-BB_RS03685	99.777	1344	0.0
CKDGNL_00610	group_3373	gene-BB_RS03680	99.897	972	0.0
CKDGNL_00615	trkA	gene-BB_RS03675	100.0	783	0.0
CKDGNL_00620	trkG	gene-BB_RS03670	99.849	1323	0.0
CKDGNL_00625	cyaB	gene-BB_RS03665	99.625	534	0.0
CKDGNL_00630	group_1644	gene-BB_RS03660	100.0	1446	0.0
CKDGNL_00635	pgsA	gene-BB_RS03655	99.524	630	0.0
CKDGNL_00640	thrS	gene-BB_RS03650	99.656	1746	0.0
CKDGNL_00645	rodA	gene-BB_RS03645	99.696	1317	0.0
CKDGNL_00650	mrdA	gene-BB_RS03640	99.556	1800	0.0
CKDGNL_00655	mreD	gene-BB_RS03635	99.793	483	0.0
CKDGNL_00660	mreC	gene-BB_RS03630	99.764	846	0.0
CKDGNL_00665	mreB	gene-BB_RS03625	99.81	1050	0.0
CKDGNL_00670	Tetratricopeptide repeat domain protein	gene-BB_RS03620	99.897	969	0.0
CKDGNL_00680	C4-type zinc ribbon domain-containing protein	gene-BB_RS03610	99.868	759	0.0
CKDGNL_00685	rpoD	gene-BB_RS03605	99.947	1896	0.0
CKDGNL_00690	dnaG	gene-BB_RS03600	99.663	1782	0.0
CKDGNL_00695	mltG	gene-BB_RS03595	99.322	1032	0.0
CKDGNL_00710	group_1649	gene-BB_RS03580	100.0	324	1.1300000000000001e-167
CKDGNL_00715	group_3930	gene-BB_RS03575	99.662	1773	0.0
CKDGNL_00720	pcnB	gene-BB_RS03570	99.27	1233	0.0
CKDGNL_00725	rnc	gene-BB_RS03565	99.593	738	0.0
CKDGNL_00730	acpP	gene-BB_RS03560	100.0	243	7.820000000000001e-124
CKDGNL_00735	rpmF	gene-BB_RS03555	99.454	183	9.02e-90
CKDGNL_00740	coaD	gene-BB_RS03550	100.0	492	0.0
CKDGNL_00745	group_3321	gene-BB_RS03545	99.63	540	0.0
CKDGNL_00750	rplS	gene-BB_RS03540	100.0	366	0.0
CKDGNL_00755	trmD	gene-BB_RS03535	99.167	720	0.0
CKDGNL_00760	rimM	gene-BB_RS03530	99.401	501	0.0
CKDGNL_00765	khpA	gene-BB_RS03525	100.0	249	4.44e-127
CKDGNL_00770	rpsP	gene-BB_RS03520	100.0	261	1.42e-133
CKDGNL_00775	ffh	gene-BB_RS03515	99.326	1335	0.0
CKDGNL_00780	group_3331	gene-BB_RS03510	99.835	1209	0.0
CKDGNL_00785	fusA	gene-BB_RS03505	99.95	2010	0.0
CKDGNL_00785	fusA	gene-BB_RS02710	73.797	187	1.55e-23
CKDGNL_00790	napA	gene-BB_RS03500	99.814	537	0.0
CKDGNL_00795	ykwD	gene-BB_RS03495	98.291	468	0.0
CKDGNL_00805	mvk	gene-BB_RS03485	99.776	894	0.0
CKDGNL_00810	eRG8	gene-BB_RS03480	100.0	954	0.0
CKDGNL_00815	mvaD	gene-BB_RS03475	99.681	939	0.0
CKDGNL_00820	hMG1	gene-BB_RS03470	99.921	1269	0.0
CKDGNL_00825	fni	gene-BB_RS03465	100.0	1065	0.0
CKDGNL_00830	pksG	gene-BB_RS03460	99.673	1224	0.0
CKDGNL_00835	mnmA	gene-BB_RS03455	99.625	1068	0.0
CKDGNL_00840	group_3183	gene-BB_RS03450	99.947	1902	0.0
CKDGNL_00840	group_3183	gene-BB_RS03445	67.026	649	1.21e-43
CKDGNL_00845	group_3622	gene-BB_RS03445	99.735	2262	0.0
CKDGNL_00845	group_3622	gene-BB_RS03450	66.872	649	1.7499999999999998e-42
CKDGNL_00845	group_3622	gene-BB_RS03000	76.768	99	3.61e-13
CKDGNL_00850	group_1653	gene-BB_RS03440	100.0	927	0.0
CKDGNL_00855	group_3514	gene-BB_RS03435	100.0	1152	0.0
CKDGNL_00860	nupO	gene-BB_RS03430	99.876	1611	0.0
CKDGNL_00865	gph	gene-BB_RS03425	99.397	663	0.0
CKDGNL_00870	group_3810	gene-BB_RS03420	99.884	864	0.0
CKDGNL_00875	Ion transport domain-containing protein	gene-BB_RS03415	99.904	1047	0.0
CKDGNL_00880	Toluene tolerance protein	gene-BB_RS03410	99.806	516	0.0
CKDGNL_00885	cheY	gene-BB_RS03405	100.0	441	0.0
CKDGNL_00890	cheX	gene-BB_RS03400	100.0	486	0.0
CKDGNL_00895	group_4007	gene-BB_RS03395	99.572	1401	0.0
CKDGNL_00900	cheA	gene-BB_RS03390	99.73	2595	0.0
CKDGNL_00905	flaA	gene-BB_RS03385	99.708	1026	0.0
CKDGNL_00910	Flagellar filament outsheath protein	gene-BB_RS03380	99.819	552	0.0
CKDGNL_00915	amiC	gene-BB_RS03375	98.999	999	0.0
CKDGNL_00915	amiC	gene-BB_RS03370	100.0	38	6.91e-12
CKDGNL_00920	Glycosyltransferase	gene-BB_RS03370	99.479	960	0.0
CKDGNL_00925	group_3842	gene-BB_RS03365	99.253	669	0.0
CKDGNL_00930	UPF0127 protein	gene-BB_RS03360	99.556	450	0.0
CKDGNL_00935	bptA	gene-BB_RS03355	99.757	411	0.0
CKDGNL_00940	DZANK-type domain-containing protein	gene-BB_RS03350	99.72	357	0.0
CKDGNL_00945	era	gene-BB_RS03345	100.0	873	0.0
CKDGNL_00950	lysS	gene-BB_RS03340	99.872	1566	0.0
CKDGNL_00955	gpmA	gene-BB_RS03335	100.0	747	0.0
CKDGNL_00960	rpiA	gene-BB_RS03330	99.563	687	0.0
CKDGNL_00965	psgB	gene-BB_RS03325	99.647	1134	0.0
CKDGNL_00970	group_3455	gene-BB_RS03320	99.759	831	0.0
CKDGNL_00975	group_3651	gene-BB_RS03315	99.65	1143	0.0
CKDGNL_00980	secF	gene-BB_RS03310	99.889	900	0.0
CKDGNL_00985	secD	gene-BB_RS03305	99.773	1761	0.0
CKDGNL_00990	yajC	gene-BB_RS03300	99.327	297	2.43e-150
CKDGNL_00995	group_3164	gene-BB_RS03295	99.663	297	2e-151
CKDGNL_01000	groL	gene-BB_RS03290	99.817	1638	0.0
CKDGNL_01005	Serine/threonine kinase	gene-BB_RS03285	98.638	1689	0.0
CKDGNL_01010	bosR	gene-BB_RS03280	100.0	531	0.0
CKDGNL_01015	yvaK	gene-BB_RS03275	99.797	984	0.0
CKDGNL_01020	group_3791	gene-BB_RS03270	99.676	1545	0.0
CKDGNL_01020	group_3791	gene-BB_RS00570	69.123	285	1.45e-22
CKDGNL_01025	nanE	gene-BB_RS03265	100.0	699	0.0
CKDGNL_01030	ylqF	gene-BB_RS03260	99.881	840	0.0
CKDGNL_01035	potA	gene-BB_RS03255	99.904	1044	0.0
CKDGNL_01040	potB	gene-BB_RS03250	99.876	804	0.0
CKDGNL_01045	potC	gene-BB_RS03245	99.621	792	0.0
CKDGNL_01050	potD	gene-BB_RS03240	98.854	1047	0.0
CKDGNL_01055	nhaC	gene-BB_RS03235	99.567	1387	0.0
CKDGNL_01055	nhaC	gene-BB_RS03230	70.023	427	1.69e-46
CKDGNL_01060	group_2117	gene-BB_RS03230	99.777	1344	0.0
CKDGNL_01060	group_2117	gene-BB_RS03235	67.37	616	1.3400000000000002e-47
CKDGNL_01065	zwf	gene-BB_RS03225	99.791	1437	0.0
CKDGNL_01070	pncB	gene-BB_RS03220	99.862	1446	0.0
CKDGNL_01075	Exodeoxyribonuclease V gamma subunit	gene-BB_RS03215	99.753	3241	0.0
CKDGNL_01080	recB	gene-BB_RS03210	99.43	3510	0.0
CKDGNL_01085	recD	gene-BB_RS03205	99.782	1833	0.0
CKDGNL_01095	group_4167	gene-BB_RS03195	99.683	315	3.6e-161
CKDGNL_01100	pfkB	gene-BB_RS03190	99.459	924	0.0
CKDGNL_01105	group_4092	gene-BB_RS03185	100.0	1872	0.0
CKDGNL_01110	Lipoprotein, putative	gene-BB_RS03180	100.0	726	0.0
CKDGNL_01115	apeB	gene-BB_RS03175	99.686	1272	0.0
CKDGNL_01125	lysM	gene-BB_RS03160	99.857	2094	0.0
CKDGNL_01125	lysM	gene-BB_RS03155	100.0	41	3.34e-13
CKDGNL_01130	Uncharacterized conserved protein	gene-BB_RS03155	99.896	963	0.0
CKDGNL_01130	Uncharacterized conserved protein	gene-BB_RS03160	100.0	41	1.52e-13
CKDGNL_01135	mfd	gene-BB_RS03150	99.467	3378	0.0
CKDGNL_01140	Acetate kinase	gene-BB_RS03145	99.672	1218	0.0
CKDGNL_01145	yajL	gene-BB_RS03140	100.0	555	0.0
CKDGNL_01155	bglX	gene-BB_RS03130	99.812	1596	0.0
CKDGNL_01160	nrnA	gene-BB_RS03125	100.0	963	0.0
CKDGNL_01165	cdd	gene-BB_RS03120	100.0	465	0.0
CKDGNL_01170	group_3411	gene-BB_RS03115	100.0	369	0.0
CKDGNL_01175	fieF	gene-BB_RS03110	99.926	1356	0.0
CKDGNL_01185	rpsD	gene-BB_RS03100	100.0	627	0.0
CKDGNL_01190	group_1669	gene-BB_RS07740	100.0	153	3.33e-75
CKDGNL_01195	group_3200	gene-BB_RS03095	99.958	2391	0.0
CKDGNL_01195	group_3200	gene-BB_RS01255	67.325	456	4.68e-31
CKDGNL_01200	clpX	gene-BB_RS03090	99.923	1293	0.0
CKDGNL_01205	clpP	gene-BB_RS03085	100.0	585	0.0
CKDGNL_01210	tig	gene-BB_RS03080	99.927	1365	0.0
CKDGNL_01235	pepD	gene-BB_RS03055	99.022	1431	0.0
CKDGNL_01240	group_3941	gene-BB_RS03050	99.899	1978	0.0
CKDGNL_01240	group_3941	gene-BB_RS01695	81.944	72	3.85e-12
CKDGNL_01245	cheD	gene-BB_RS03045	99.797	492	0.0
CKDGNL_01250	dacC	gene-BB_RS03040	99.754	1218	0.0
CKDGNL_01255	lldP	gene-BB_RS03035	99.8	1503	0.0
CKDGNL_01260	integrin-binding adhesin P66	gene-BB_RS03030	99.785	1857	0.0
CKDGNL_01265	group_3476	gene-BB_RS03025	99.867	753	0.0
CKDGNL_01270	glyA	gene-BB_RS03020	99.841	1254	0.0
CKDGNL_01275	IPT/TIG domain protein	gene-BB_RS03015	99.294	1557	0.0
CKDGNL_01280	cysS	gene-BB_RS03010	98.614	1443	0.0
CKDGNL_01285	murB	gene-BB_RS03005	98.68	909	0.0
CKDGNL_01290	tar	gene-BB_RS03000	99.683	2208	0.0
CKDGNL_01295	group_3387	gene-BB_RS02995	99.814	2148	0.0
CKDGNL_01300	rnfE	gene-BB_RS02990	99.203	627	0.0
CKDGNL_01305	argS	gene-BB_RS02985	99.204	1758	0.0
CKDGNL_01310	fAA1	gene-BB_RS02980	99.587	1938	0.0
CKDGNL_01310	fAA1	gene-BB_RS00675	77.358	106	2.54e-14
CKDGNL_01315	ydiL	gene-BB_RS02975	99.86	714	0.0
CKDGNL_01320	comEC	gene-BB_RS02970	99.121	1251	0.0
CKDGNL_01325	rsmA	gene-BB_RS02965	99.882	846	0.0
CKDGNL_01330	pta	gene-BB_RS02960	99.811	1056	0.0
CKDGNL_01335	group_1369	gene-BB_RS02955	99.248	798	0.0
CKDGNL_01340	metG	gene-BB_RS02950	99.365	2205	0.0
CKDGNL_01345	fmhB	gene-BB_RS02945	100.0	1044	0.0
CKDGNL_01350	murD	gene-BB_RS02940	99.705	1356	0.0
CKDGNL_01355	group_3685	gene-BB_RS02935	99.925	1335	0.0
CKDGNL_01360	group_3112	gene-BB_RS02930	99.704	1350	0.0
CKDGNL_01365	ldcB	gene-BB_RS02925	99.366	789	0.0
CKDGNL_01370	recG	gene-BB_RS02920	99.806	2061	0.0
CKDGNL_01375	ycf19	gene-BB_RS02915	99.827	579	0.0
CKDGNL_01380	dnaE	gene-BB_RS02910	99.623	3444	0.0
CKDGNL_01385	group_3835	gene-BB_RS02905	100.0	1170	0.0
CKDGNL_01390	Type I restriction enzyme R protein N-terminal domain-containing protein	gene-BB_RS02900	100.0	588	0.0
CKDGNL_01395	DUF1761 domain-containing protein	gene-BB_RS02895	99.048	525	0.0
CKDGNL_01400	pyrG	gene-BB_RS02890	100.0	1602	0.0
CKDGNL_01405	ABC transporter permease	gene-BB_RS02885	99.765	852	0.0
CKDGNL_01410	group_1375	gene-BB_RS02880	99.876	807	0.0
CKDGNL_01415	wcaA	gene-BB_RS02875	98.31	1065	0.0
CKDGNL_01420	pyrH	gene-BB_RS02870	99.855	690	0.0
CKDGNL_01430	group_3260	gene-BB_RS02860	100.0	375	0.0
CKDGNL_01435	Methyl-accepting chemotaxis protein	gene-BB_RS02855	99.887	1773	0.0
CKDGNL_01440	group_3714	gene-BB_RS02850	99.741	1158	0.0
CKDGNL_01445	group_3437	gene-BB_RS02845	99.72	2145	0.0
CKDGNL_01450	STAS domain-containing protein	gene-BB_RS02840	99.679	312	1.5099999999999999e-159
CKDGNL_01455	group_3347	gene-BB_RS02835	100.0	543	0.0
CKDGNL_01460	group_3718	gene-BB_RS02830	99.505	606	0.0
CKDGNL_01465	group_3400	gene-BB_RS02825	100.0	519	0.0
CKDGNL_01470	group_3926	gene-BB_RS02820	99.632	543	0.0
CKDGNL_01475	gnd	gene-BB_RS02815	99.928	1395	0.0
CKDGNL_01480	htpG	gene-BB_RS02810	99.946	1851	0.0
CKDGNL_01485	crr	gene-BB_RS02805	100.0	570	0.0
CKDGNL_01490	ptsI	gene-BB_RS02800	99.942	1722	0.0
CKDGNL_01495	group_3645	gene-BB_RS02795	100.0	261	1.42e-133
CKDGNL_01500	cutB	gene-BB_RS02790	100.0	870	0.0
CKDGNL_01505	cutS	gene-BB_RS02785	100.0	468	0.0
CKDGNL_01510	group_1944	gene-BB_RS02780	99.732	1863	0.0
CKDGNL_01515	group_3938	gene-BB_RS02775	99.732	1494	0.0
CKDGNL_01520	ligA	gene-BB_RS02770	99.597	1983	0.0
CKDGNL_01525	group_1676	gene-BB_RS02765	100.0	381	0.0
CKDGNL_01530	fliS	gene-BB_RS02760	100.0	438	0.0
CKDGNL_01535	group_1380	gene-BB_RS02755	100.0	399	0.0
CKDGNL_01540	polA	gene-BB_RS02750	99.817	2727	0.0
CKDGNL_01545	coaE	gene-BB_RS02745	99.838	618	0.0
CKDGNL_01550	dedD	gene-BB_RS02740	97.917	480	0.0
CKDGNL_01555	Xylulokinase	gene-BB_RS02735	99.341	1365	0.0
CKDGNL_01560	prs	gene-BB_RS02730	99.918	1221	0.0
CKDGNL_01565	group_4153	gene-BB_RS02725	100.0	651	0.0
CKDGNL_01570	tadD	gene-BB_RS02720	100.0	528	0.0
CKDGNL_01575	KTSC domain-containing protein	gene-BB_RS02715	99.127	229	5.24e-113
CKDGNL_01580	group_3453	gene-BB_RS02710	99.424	2082	0.0
CKDGNL_01580	group_3453	gene-BB_RS03505	73.262	187	1.96e-22
CKDGNL_01585	ybhL	gene-BB_RS02705	100.0	699	0.0
CKDGNL_01590	ccmA	gene-BB_RS02700	99.749	399	0.0
CKDGNL_01595	group_3592	gene-BB_RS02695	100.0	645	0.0
CKDGNL_01610	pqqL	gene-BB_RS02680	99.679	2802	0.0
CKDGNL_01615	Flagellar filament outer layer protein	gene-BB_RS02675	99.483	774	0.0
CKDGNL_01620	xth	gene-BB_RS02670	100.0	768	0.0
CKDGNL_01625	phnP	gene-BB_RS02665	99.738	762	0.0
CKDGNL_01630	Membrane associated protein	gene-BB_RS02660	99.614	1294	0.0
CKDGNL_01635	Uncharacterized protein BB_0531	gene-BB_RS02655	99.187	615	0.0
CKDGNL_01640	TIGR02757 family protein	gene-BB_RS02650	99.012	810	0.0
CKDGNL_01645	pdxI	gene-BB_RS02645	99.684	948	0.0
CKDGNL_01650	coaX	gene-BB_RS02640	100.0	789	0.0
CKDGNL_01655	group_3478	gene-BB_RS02635	99.945	1824	0.0
CKDGNL_01660	group_3188	gene-BB_RS02630	100.0	423	0.0
CKDGNL_01665	suhB	gene-BB_RS02625	99.766	855	0.0
CKDGNL_01670	nadE	gene-BB_RS02620	99.74	1539	0.0
CKDGNL_01675	grpE	gene-BB_RS02615	100.0	564	0.0
CKDGNL_01680	dnaK	gene-BB_RS02610	100.0	1908	0.0
CKDGNL_01685	dnaJ	gene-BB_RS02605	100.0	1095	0.0
CKDGNL_01685	dnaJ	gene-BB_RS03320	76.86	121	9.57e-17
CKDGNL_01690	rlmB	gene-BB_RS02600	99.596	742	0.0
CKDGNL_01695	trxB	gene-BB_RS02595	99.592	981	0.0
CKDGNL_01700	pheT	gene-BB_RS02590	99.824	1701	0.0
CKDGNL_01705	pheS	gene-BB_RS02585	99.427	1572	0.0
CKDGNL_01710	DNA repair exonuclease SbcCD ATPase subunit	gene-BB_RS02580	99.369	6501	0.0
CKDGNL_01715	Haloacid dehalogenase-like hydrolase	gene-BB_RS02575	98.991	694	0.0
CKDGNL_01720	NlpC/P60 family protein	gene-BB_RS02570	100.0	1260	0.0
CKDGNL_01725	der	gene-BB_RS02565	99.923	1302	0.0
CKDGNL_01730	gerM	gene-BB_RS02560	100.0	747	0.0
CKDGNL_01735	yqxC	gene-BB_RS02555	99.861	720	0.0
CKDGNL_01740	group_4136	gene-BB_RS02550	99.62	789	0.0
CKDGNL_01745	rny	gene-BB_RS02545	99.739	1533	0.0
CKDGNL_01750	rplQ	gene-BB_RS02540	99.731	372	0.0
CKDGNL_01755	rpoA	gene-BB_RS02535	99.034	1035	0.0
CKDGNL_01760	rpsK	gene-BB_RS02530	99.746	393	0.0
CKDGNL_01765	rpsM	gene-BB_RS02525	100.0	378	0.0
CKDGNL_01770	rpmJ	gene-BB_RS02520	100.0	114	3.5099999999999996e-54
CKDGNL_01775	secY	gene-BB_RS02515	99.693	1305	0.0
CKDGNL_01780	rplO	gene-BB_RS02510	100.0	438	0.0
CKDGNL_01785	rpmD	gene-BB_RS02505	100.0	306	6.3e-158
CKDGNL_01790	rpsE	gene-BB_RS02500	100.0	498	0.0
CKDGNL_01795	rplR	gene-BB_RS02495	100.0	360	0.0
CKDGNL_01800	rplF	gene-BB_RS02490	100.0	543	0.0
CKDGNL_01805	rpsH	gene-BB_RS02485	100.0	399	0.0
CKDGNL_01810	rpsZ	gene-BB_RS02480	100.0	186	5.08e-93
CKDGNL_01815	rplE	gene-BB_RS02475	100.0	549	0.0
CKDGNL_01820	rplX	gene-BB_RS02470	99.673	306	2.68e-156
CKDGNL_01825	rplN	gene-BB_RS02465	99.457	368	0.0
CKDGNL_01830	rpsQ	gene-BB_RS02460	100.0	255	2.51e-130
CKDGNL_01835	rpmC	gene-BB_RS02455	100.0	201	3.99e-101
