DMPBEC_00005	Uncharacterized protein BB_0001
DMPBEC_01290	group_1299
DMPBEC_01295	tPR
DMPBEC_01300	lysM
DMPBEC_01305	group_3383
DMPBEC_01310	dnaK
DMPBEC_01315	Uncharacterized protein BB_0265
DMPBEC_01320	Uncharacterized protein BB_0266
DMPBEC_01325	fapA
DMPBEC_01330	hfq
DMPBEC_01335	group_3116
DMPBEC_01340	flhF
DMPBEC_01345	flhA
DMPBEC_01350	flhB
DMPBEC_01355	fliR
DMPBEC_01360	fliQ
DMPBEC_01365	fliP
DMPBEC_01370	fliZ
DMPBEC_01375	fliN
DMPBEC_01380	fliM
DMPBEC_01385	fliL
DMPBEC_01390	motB
DMPBEC_01395	motA
DMPBEC_01400	swrD
DMPBEC_01405	flgE
DMPBEC_01410	flgD
DMPBEC_01415	fliK
DMPBEC_01420	group_3289
DMPBEC_01425	group_1391
DMPBEC_01430	fliI
DMPBEC_01435	fliH
DMPBEC_01440	group_2784
DMPBEC_01445	fliF
DMPBEC_01450	fliE
DMPBEC_01455	flgC
DMPBEC_01460	flgB
DMPBEC_01465	hslU
DMPBEC_01470	hslV
DMPBEC_01475	dprA
DMPBEC_01480	TPR repeat-containing protein BB_0298
DMPBEC_01485	ftsZ
DMPBEC_01490	ftsA
DMPBEC_01495	ftsQ
DMPBEC_01500	ftsW
DMPBEC_01505	mraY
DMPBEC_01510	murF
DMPBEC_01515	ftsL
DMPBEC_01520	rsmH
DMPBEC_01525	group_3599
DMPBEC_01530	group_3451
DMPBEC_01535	group_3253
DMPBEC_01540	nadK
DMPBEC_01545	cheW
DMPBEC_01550	rlmE
DMPBEC_01555	ispA
DMPBEC_01560	group_2773
DMPBEC_01565	group_2811
DMPBEC_01570	nupP
DMPBEC_01575	mglA
DMPBEC_01580	nupN
DMPBEC_01585	group_3655
DMPBEC_01590	xkdP
DMPBEC_01595	bamD
DMPBEC_01600	VWFA domain-containing protein
DMPBEC_01605	group_3224
DMPBEC_01610	Glycerol-3-phosphate O-acyltransferase
DMPBEC_01615	group_1677
DMPBEC_01620	group_1392
DMPBEC_01625	oppA
DMPBEC_01630	dppB
DMPBEC_01635	dppC
DMPBEC_01640	dppD
DMPBEC_01645	gsiA
DMPBEC_01650	P26
DMPBEC_01655	eno
DMPBEC_01660	rpsI
DMPBEC_01665	rplM
DMPBEC_01670	Uncharacterized protein BB_0340
DMPBEC_01675	gatB
DMPBEC_01680	gatA
DMPBEC_01685	gatC
DMPBEC_01690	uvrD
DMPBEC_01695	BB_0345 family helix-turn-helix protein
DMPBEC_01700	group_2541
DMPBEC_01705	rqcH
DMPBEC_01710	pyk
DMPBEC_01715	amrB
DMPBEC_01720	rpmB
DMPBEC_01725	group_2992
DMPBEC_01730	group_3395
DMPBEC_01735	Permease
DMPBEC_01740	LptF/LptG family permease
DMPBEC_01745	cdnL
DMPBEC_01750	UDP-N-acetyl-D-mannosaminuronic acid transferase (WecB/TagA/CpsF family)
DMPBEC_01755	rsmE2
DMPBEC_01760	ctpA
DMPBEC_01765	group_1402
DMPBEC_01770	group_1206
DMPBEC_01775	lgt
DMPBEC_01780	pdeA
DMPBEC_01785	mgsA
DMPBEC_01790	p22
DMPBEC_01795	apeA
DMPBEC_01800	group_3676
DMPBEC_01805	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
DMPBEC_01810	clpA
DMPBEC_01815	tyrS
DMPBEC_01820	glyQS
DMPBEC_01825	gltX
DMPBEC_01830	P31-23
DMPBEC_01835	pdeB
DMPBEC_01840	group_3075
DMPBEC_01845	metK
DMPBEC_01850	luxS
DMPBEC_01855	Uncharacterized protein BB_0378
DMPBEC_01860	hinT
DMPBEC_01865	mgtE
DMPBEC_01870	treA
DMPBEC_01875	bmpB
DMPBEC_01880	bmpA
DMPBEC_01885	bmpC
DMPBEC_01890	bmpD
DMPBEC_01895	rpsG
DMPBEC_01900	rpsL
DMPBEC_01905	rpoC
DMPBEC_01910	rpoB
DMPBEC_01915	rplL
DMPBEC_01920	rplJ
DMPBEC_01925	rplA
DMPBEC_01930	rplK
DMPBEC_01935	nusG
DMPBEC_01945	rpmG
DMPBEC_01955	group_3222
DMPBEC_01960	group_1406
DMPBEC_01965	aNKYR
DMPBEC_01970	group_3679
DMPBEC_01975	gltP
DMPBEC_01980	proS
DMPBEC_01985	putative secreted protein
DMPBEC_01990	group_3494
DMPBEC_01995	group_2557
DMPBEC_02000	group_3584
DMPBEC_02005	manA
DMPBEC_02010	group_3169
DMPBEC_02015	group_1208
DMPBEC_02020	Endonuclease
DMPBEC_02025	Membrane protein, putative
DMPBEC_02030	sEC59
DMPBEC_02035	group_2782
DMPBEC_02040	group_2598
DMPBEC_02045	Pheromone shutdown protein TraB, contains GTxH motif (function unknown)
DMPBEC_02050	adk
DMPBEC_02055	Outer membrane protein
DMPBEC_02060	rrp1
DMPBEC_02065	group_3888
DMPBEC_02090	group_1407
DMPBEC_02095	mpg
DMPBEC_02115	rCL
DMPBEC_02120	rsmI
DMPBEC_02125	DUF3784 domain-containing protein
DMPBEC_02130	DUF1893 domain-containing protein
DMPBEC_02135	Impact N-terminal domain-containing protein
DMPBEC_02140	parA
DMPBEC_02145	group_2693
DMPBEC_02150	parB
DMPBEC_02155	gyrA
DMPBEC_02160	gyrB
DMPBEC_02165	dnaA
DMPBEC_02170	dnaN
DMPBEC_02175	Uncharacterized protein BB_0439
DMPBEC_02180	rpmH
DMPBEC_02185	rnpA
DMPBEC_02190	yidC
DMPBEC_02195	jag
DMPBEC_02200	wcaG
DMPBEC_02205	fbaA
DMPBEC_02210	aspS
DMPBEC_02215	group_3022
DMPBEC_02220	group_1408
DMPBEC_02225	raiA
DMPBEC_02230	rpoN
DMPBEC_02235	group_3569
DMPBEC_02240	chrA
DMPBEC_02245	mscS
DMPBEC_02250	rfaB
DMPBEC_02255	holA
DMPBEC_02260	group_3658
DMPBEC_02265	uvrC
DMPBEC_02270	Fibronectin type-III domain-containing protein
DMPBEC_02275	group_3725
DMPBEC_02290	group_2911
DMPBEC_02310	dnaX
DMPBEC_02315	efbC
DMPBEC_02320	ndk
DMPBEC_02325	group_3349
DMPBEC_02330	Organic solvent tolerance-like N-terminal domain-containing protein
DMPBEC_02335	group_2968
DMPBEC_02340	pgeF
DMPBEC_02345	nIF3
DMPBEC_02350	lspA
DMPBEC_02355	NADH dehydrogenase subunit 4L
DMPBEC_02360	ymdB
DMPBEC_02365	murA
DMPBEC_02370	norM
DMPBEC_02375	group_3265
DMPBEC_02380	tuf
DMPBEC_02385	rpsJ
DMPBEC_02390	rplC
DMPBEC_02395	rplD
DMPBEC_02400	rplW
DMPBEC_02405	rplB
DMPBEC_02410	rpsS
DMPBEC_02415	rplV
DMPBEC_02420	rpsC
DMPBEC_02425	rplP
DMPBEC_02430	rpmC
DMPBEC_02435	rpsQ
DMPBEC_02440	rplN
DMPBEC_02445	rplX
DMPBEC_02450	rplE
DMPBEC_02455	rpsZ
DMPBEC_02460	rpsH
DMPBEC_02465	rplF
DMPBEC_02470	rplR
DMPBEC_02475	rpsE
DMPBEC_02480	rpmD
DMPBEC_02485	rplO
DMPBEC_02490	secY
DMPBEC_02495	rpmJ
DMPBEC_02500	rpsM
DMPBEC_02505	rpsK
DMPBEC_02510	rpoA
DMPBEC_02515	rplQ
DMPBEC_02520	rny
DMPBEC_02525	group_3891
DMPBEC_02530	yqxC
DMPBEC_02535	gerM
DMPBEC_02540	der
DMPBEC_02545	NlpC/P60 family protein
DMPBEC_02550	Haloacid dehalogenase-like hydrolase
DMPBEC_02555	DNA repair exonuclease SbcCD ATPase subunit
DMPBEC_02560	pheS
DMPBEC_02565	pheT
DMPBEC_02570	trxB
DMPBEC_02575	rlmB
DMPBEC_02580	dnaJ
DMPBEC_02585	group_2667
DMPBEC_02590	grpE
DMPBEC_02595	nadE
DMPBEC_02600	suhB
DMPBEC_02605	group_3398
DMPBEC_02610	group_2854
DMPBEC_02615	coaX
DMPBEC_02620	pdxI
DMPBEC_02625	TIGR02757 family protein
DMPBEC_02630	Uncharacterized protein BB_0531
DMPBEC_02635	group_3179
DMPBEC_02640	phnP
DMPBEC_02645	xth
DMPBEC_02650	Flagellar filament outer layer protein
DMPBEC_02655	pqqL
DMPBEC_02670	group_2810
DMPBEC_02675	group_3897
DMPBEC_02680	ybhL
DMPBEC_02685	group_3454
DMPBEC_02690	KTSC domain-containing protein
DMPBEC_02695	tadD
DMPBEC_02700	group_3878
DMPBEC_02705	prs
DMPBEC_02710	Xylulokinase
DMPBEC_02715	dedD
DMPBEC_02720	coaE
DMPBEC_02725	polA
DMPBEC_02730	Flagellar protein
DMPBEC_02735	fliS
DMPBEC_02740	group_1415
DMPBEC_02745	ligA
DMPBEC_02750	group_3581
DMPBEC_02755	group_3340
DMPBEC_02760	cutS
DMPBEC_02765	cutB
DMPBEC_02770	ptsH
DMPBEC_02775	ptsI
DMPBEC_02780	crr
DMPBEC_02785	htpG
DMPBEC_02790	gnd
DMPBEC_02795	group_3686
DMPBEC_02800	DUF3996 domain-containing protein
DMPBEC_02805	group_3447
DMPBEC_02810	group_2990
DMPBEC_02815	STAS domain-containing protein
DMPBEC_02820	cheA
DMPBEC_02825	cheB
DMPBEC_02830	group_3416
DMPBEC_02835	cheY
DMPBEC_02845	pyrH
DMPBEC_02850	wcaA
DMPBEC_02855	lptB
DMPBEC_02860	ABC transporter permease
DMPBEC_02865	pyrG
DMPBEC_02870	DUF1761 domain-containing protein
DMPBEC_02875	Type I restriction enzyme R protein N-terminal domain-containing protein
DMPBEC_02880	group_3628
DMPBEC_02885	dnaE
DMPBEC_02890	ycf19
DMPBEC_02895	recG
DMPBEC_02900	ldcB
DMPBEC_02905	group_3413
DMPBEC_02910	group_2935
DMPBEC_02915	murD
DMPBEC_02920	fmhB
DMPBEC_02925	metG
DMPBEC_02930	mtnN
DMPBEC_02935	pta
DMPBEC_02940	rsmA
DMPBEC_02945	comEC
DMPBEC_02950	ydiL
DMPBEC_02955	group_3099
DMPBEC_02960	argS
DMPBEC_02965	rnfE
DMPBEC_02970	group_2952
DMPBEC_02975	tar
DMPBEC_02980	murB
DMPBEC_02985	cysS
DMPBEC_02990	IPT/TIG domain protein
DMPBEC_02995	glyA
DMPBEC_03000	group_3110
DMPBEC_03005	integrin-binding adhesin P66
DMPBEC_03010	lldP
DMPBEC_03015	dacC
DMPBEC_03020	cheD
DMPBEC_03025	group_3562
DMPBEC_03030	pepD
DMPBEC_03055	tig
DMPBEC_03060	clpP
DMPBEC_03065	clpX
DMPBEC_03070	group_3181
DMPBEC_03075	group_1418
DMPBEC_03080	rpsD
DMPBEC_03090	fieF
DMPBEC_03095	group_2521
DMPBEC_03100	cdd
DMPBEC_03105	nrnA
DMPBEC_03110	bglX
DMPBEC_03120	yajL
DMPBEC_03125	Acetate kinase
DMPBEC_03130	mfd
DMPBEC_03135	Uncharacterized conserved protein
DMPBEC_03140	group_1217
DMPBEC_03150	apeB
DMPBEC_03155	Lipoprotein, putative
DMPBEC_03160	ptsN
DMPBEC_03165	pfkB
DMPBEC_03170	hypothetical protein
DMPBEC_03180	recD
DMPBEC_03185	recB
DMPBEC_03190	Exodeoxyribonuclease V gamma subunit
DMPBEC_03195	pncB
DMPBEC_03200	zwf
DMPBEC_03205	group_3453
DMPBEC_03210	nhaC
DMPBEC_03215	potD
DMPBEC_03220	potC
DMPBEC_03225	potB
DMPBEC_03230	potA
DMPBEC_03235	ylqF
DMPBEC_03240	nanE
DMPBEC_03245	ptsG
DMPBEC_03250	yvaK
DMPBEC_03255	bosR
DMPBEC_03260	Serine/threonine kinase
DMPBEC_03265	groL
DMPBEC_03270	group_2532
DMPBEC_03275	yajC
DMPBEC_03280	secD
DMPBEC_03285	secF
DMPBEC_03290	group_2701
DMPBEC_03295	group_2894
DMPBEC_03300	psgB
DMPBEC_03305	rpiA
DMPBEC_03310	gpmA
DMPBEC_03315	lysS
DMPBEC_03320	era
DMPBEC_03325	DZANK-type domain-containing protein
DMPBEC_03330	bptA
DMPBEC_03335	UPF0127 protein
DMPBEC_03340	group_3708
DMPBEC_03345	Glycosyltransferase
DMPBEC_03350	amiC
DMPBEC_03355	Flagellar filament outsheath protein
DMPBEC_03360	flaA
DMPBEC_03365	group_3387
DMPBEC_03370	group_3552
DMPBEC_03375	cheX
DMPBEC_03380	group_2544
DMPBEC_03385	Toluene tolerance protein
DMPBEC_03390	Ion transport domain-containing protein
DMPBEC_03395	group_3732
DMPBEC_03400	gph
DMPBEC_03405	nupO
DMPBEC_03410	group_2909
DMPBEC_03415	nupQ
DMPBEC_03420	group_2778
DMPBEC_03425	Methyl-accepting chemotaxis protein
DMPBEC_03430	mnmA
DMPBEC_03435	pksG
DMPBEC_03440	fni
DMPBEC_03445	hMG1
DMPBEC_03450	mvaD
DMPBEC_03455	eRG8
DMPBEC_03460	mvk
DMPBEC_03470	ykwD
DMPBEC_03475	napA
DMPBEC_03480	fusA
DMPBEC_03485	group_3484
DMPBEC_03490	ffh
DMPBEC_03495	rpsP
DMPBEC_03500	khpA
DMPBEC_03505	rimM
DMPBEC_03510	trmD
DMPBEC_03515	rplS
DMPBEC_03520	group_3263
DMPBEC_03525	coaD
DMPBEC_03530	rpmF
DMPBEC_03535	acpP
DMPBEC_03540	rnc
DMPBEC_03545	pcnB
DMPBEC_03550	Cytosolic protein
DMPBEC_03555	Nucleoside transport system permease protein
DMPBEC_03570	mltG
DMPBEC_03575	dnaG
DMPBEC_03580	rpoD
DMPBEC_03585	C4-type zinc ribbon domain-containing protein
DMPBEC_03595	group_3481
DMPBEC_03600	mreB
DMPBEC_03605	mreC
DMPBEC_03610	mreD
DMPBEC_03615	mrdA
DMPBEC_03620	rodA
DMPBEC_03625	thrS
DMPBEC_03630	pgsA
DMPBEC_03635	group_3907
DMPBEC_03640	cyaB
DMPBEC_03645	trkG
DMPBEC_03650	trkA
DMPBEC_03655	flhG
DMPBEC_03660	pfkA
DMPBEC_03665	cdr
DMPBEC_03670	Transporter, dicarboxylate/amino acid:cation (Na+ or H+) symporter (Daacs) family
DMPBEC_03675	pgi
DMPBEC_03680	spo0J
DMPBEC_03685	mrcA
DMPBEC_03690	plzA
DMPBEC_03695	tsaC
DMPBEC_03700	rlpA
DMPBEC_03705	dusA
DMPBEC_03710	valS
DMPBEC_03715	lolA
DMPBEC_03720	mnmC
DMPBEC_03725	groES
DMPBEC_03730	uup
DMPBEC_03735	pQQ
DMPBEC_03740	Borrelia P83/P100 antigen
DMPBEC_03755	nth
DMPBEC_03760	yejE
DMPBEC_03765	group_3479
DMPBEC_03770	Septum formation initiator family protein
DMPBEC_03775	group_3558
DMPBEC_03780	DUF4340 domain-containing protein
DMPBEC_03785	gldG
DMPBEC_03790	nosY
DMPBEC_03795	ccmA
DMPBEC_03800	rnz
DMPBEC_03805	dadA
DMPBEC_03810	clpP2
DMPBEC_03815	group_3753
DMPBEC_03825	DUF368 domain-containing protein
DMPBEC_03830	mazG
DMPBEC_03835	group_3574
DMPBEC_03840	ntrC
DMPBEC_03845	ntrY
DMPBEC_03850	DNA polymerase III subunit gamma/tau
DMPBEC_03855	cvpA
DMPBEC_03860	murG
DMPBEC_03865	pdxK
DMPBEC_03870	tsaD
DMPBEC_03875	yibQ
DMPBEC_03880	rpoS
DMPBEC_03885	group_1680
DMPBEC_03890	flgI
DMPBEC_03895	group_2711
DMPBEC_03900	flgG
DMPBEC_03905	flgF
DMPBEC_03910	DUF2147 domain-containing protein
DMPBEC_03915	apt
DMPBEC_03920	rplU
DMPBEC_03925	ysxB
DMPBEC_03930	rpmA
DMPBEC_03935	obgE
DMPBEC_03940	nadD
DMPBEC_03945	LytR/CpsA/Psr regulator C-terminal domain-containing protein
DMPBEC_03950	rsfS
DMPBEC_03955	spoVG
DMPBEC_03965	50S ribosomal protein L25/general stress protein Ctc
DMPBEC_03970	pth
DMPBEC_03975	tilS
DMPBEC_03980	ftsH
DMPBEC_03985	group_3598
DMPBEC_03990	tdk
DMPBEC_03995	group_3839
DMPBEC_04000	tmk
DMPBEC_04005	group_1434
DMPBEC_04010	bamA
DMPBEC_04015	hlpA
DMPBEC_04020	mutS
DMPBEC_04025	comFC
DMPBEC_04030	rimP
DMPBEC_04035	nusA
DMPBEC_04040	infB
DMPBEC_04045	rbfA
DMPBEC_04050	truB
DMPBEC_04055	rpsO
DMPBEC_04060	pnp
DMPBEC_04065	group_3627
DMPBEC_04070	lptF
DMPBEC_04075	group_3281
DMPBEC_04080	Queuine tRNA-ribosyltransferase
DMPBEC_04085	murJ
DMPBEC_04090	hEAT
DMPBEC_04095	coaBC
DMPBEC_04100	panF
DMPBEC_04105	RNA pseudouridine synthase family protein
DMPBEC_04110	ATP-binding protein
DMPBEC_04115	murC
DMPBEC_04120	yicC
DMPBEC_04125	cmk2
DMPBEC_04130	rpoZ
DMPBEC_04135	miaA
DMPBEC_04140	group_3911
DMPBEC_04145	group_2602
DMPBEC_04150	nAGPA
DMPBEC_04155	Tetratricopeptide repeat domain protein
DMPBEC_04160	hrpA
DMPBEC_04165	topA
DMPBEC_04170	sbcD
DMPBEC_04175	sbcC
DMPBEC_04180	nagC
DMPBEC_04185	group_1438
DMPBEC_04190	ileS
DMPBEC_04195	group_3660
DMPBEC_04200	manB
DMPBEC_04205	uvrB
DMPBEC_04210	uvrA
DMPBEC_04215	lptD
DMPBEC_04220	group_1228
DMPBEC_04225	Ribonuclease H1 N-terminal domain-containing protein
DMPBEC_04230	group_1439
DMPBEC_04235	arcA
DMPBEC_04240	argF
DMPBEC_04245	yfcC
DMPBEC_04250	group_1115
DMPBEC_04255	Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain
DMPBEC_04260	DUF5655 domain-containing protein
DMPBEC_04265	group_661
DMPBEC_04270	group_2794
DMPBEC_04275	group_2828
DMPBEC_04280	group_295
DMPBEC_04285	group_407
DMPBEC_04290	group_3078
DMPBEC_04295	group_736
DMPBEC_04300	group_497
DMPBEC_04305	group_2618
DMPBEC_04310	group_887
DMPBEC_04315	group_3501
DMPBEC_04320	group_849
DMPBEC_04325	group_3205
DMPBEC_04330	group_3364
DMPBEC_04335	group_3774
DMPBEC_04340	group_110
DMPBEC_04345	group_923
DMPBEC_04350	group_1681
DMPBEC_04355	group_3272
DMPBEC_04360	group_3756
DMPBEC_04365	group_3531
DMPBEC_04370	DUF1640 domain-containing protein
DMPBEC_04375	group_1441
DMPBEC_04380	PF-32 protein
DMPBEC_04385	group_2680
DMPBEC_04390	group_264
DMPBEC_04395	group_3672
DMPBEC_04400	Mlp family lipoprotein
DMPBEC_04405	group_1684
DMPBEC_04410	group_2584
DMPBEC_04415	group_3041
DMPBEC_04420	Biotin--acetyl-CoA-carboxylase ligase
DMPBEC_04425	group_2644
DMPBEC_04430	group_589
DMPBEC_04435	group_462
DMPBEC_04440	group_335
DMPBEC_04445	group_3124
DMPBEC_04450	group_695
DMPBEC_04455	group_182
DMPBEC_04460	group_756
DMPBEC_04465	group_124
DMPBEC_04470	group_657
DMPBEC_04475	group_347
DMPBEC_04480	group_2812
DMPBEC_04485	group_313
DMPBEC_04490	group_3815
DMPBEC_04495	group_3079
DMPBEC_04500	group_740
DMPBEC_04505	group_500
DMPBEC_04510	group_2622
DMPBEC_04515	group_891
DMPBEC_04520	group_3505
DMPBEC_04525	group_850
DMPBEC_04530	group_3208
DMPBEC_04535	group_3365
DMPBEC_04540	group_3773
DMPBEC_04545	DUF603 domain-containing protein
DMPBEC_04550	group_995
DMPBEC_04555	group_1443
DMPBEC_04560	Outer surface protein F
DMPBEC_04565	group_3271
DMPBEC_04570	group_3759
DMPBEC_04575	DUF244 domain-containing protein
DMPBEC_04580	Bdr protein
DMPBEC_04585	group_1686
DMPBEC_04590	group_1444
DMPBEC_04595	group_3881
DMPBEC_04600	group_771
