Source	Target	Weight
cds-WP_010257444.1-2	cds-WP_010883949.1	81
cds-WP_010257444.1-2	cds-BB_RS04840	79
cds-WP_010257444.1-2	cds-WP_010890602.1	7
cds-WP_010883789.1	cds-WP_010257444.1-3	1223
cds-WP_010883789.1	cds-WP_010257444.1-4	1223
cds-WP_010883789.1	cds-WP_010883889.1	1223
cds-WP_010883789.1	cds-WP_002658391.1	572
cds-WP_010883789.1	cds-WP_010890300.1	893
cds-WP_010883789.1	cds-WP_010890608.1	1109
cds-WP_010883789.1	cds-WP_010890342.1	893
cds-WP_010883789.1	cds-WP_044283674.1	365
cds-WP_010883789.1	cds-WP_002657161.1	365
cds-WP_010883789.1	cds-WP_010883948.1	374
cds-WP_010883789.1	cds-BB_RS07410	282
cds-WP_010883789.1	cds-WP_010890597.1	443
cds-WP_010883789.1	cds-WP_164928169.1	966
cds-WP_010883789.1	cds-WP_010890249.1	473
cds-WP_010883789.1	cds-WP_010890309.1	467
cds-WP_010883789.1	cds-WP_010890266.1	822
cds-WP_010883789.1	cds-BB_RS04670	729
cds-WP_010883789.1	cds-WP_010258574.1	485
cds-WP_010883789.1	cds-WP_010890321.1	368
cds-WP_010883789.1	cds-WP_010883945.1	353
cds-WP_010883789.1	cds-WP_010883898.1	368
cds-WP_010883789.1	cds-WP_002658389.1	521
cds-WP_010883789.1	cds-WP_010256138.1	452
cds-WP_010883789.1	cds-WP_010883904.1	433
cds-WP_010883789.1	cds-WP_012614969.1	149
cds-WP_010883789.1	cds-WP_012614969.1-2	149
cds-WP_010883789.1	cds-WP_010890305.1	244
cds-WP_010883789.1	cds-WP_010890283.1	242
cds-WP_010883789.1	cds-WP_010883949.1	81
cds-WP_010883789.1	cds-BB_RS04840	79
cds-WP_010883789.1	cds-WP_010890602.1	7
cds-WP_010257444.1-3	cds-WP_010257444.1-4	1223
cds-WP_010257444.1-3	cds-WP_010883889.1	1223
cds-WP_010257444.1-3	cds-WP_002658391.1	572
cds-WP_010257444.1-3	cds-WP_010890300.1	893
cds-WP_010257444.1-3	cds-WP_010890608.1	1109
cds-WP_010257444.1-3	cds-WP_010890342.1	893
cds-WP_010257444.1-3	cds-WP_044283674.1	365
cds-WP_010257444.1-3	cds-WP_002657161.1	365
cds-WP_010257444.1-3	cds-WP_010883948.1	374
cds-WP_010257444.1-3	cds-BB_RS07410	282
cds-WP_010257444.1-3	cds-WP_010890597.1	443
cds-WP_010257444.1-3	cds-WP_164928169.1	966
cds-WP_010257444.1-3	cds-WP_010890249.1	473
cds-WP_010257444.1-3	cds-WP_010890309.1	467
cds-WP_010257444.1-3	cds-WP_010890266.1	822
cds-WP_010257444.1-3	cds-BB_RS04670	729
cds-WP_010257444.1-3	cds-WP_010258574.1	485
cds-WP_010257444.1-3	cds-WP_010890321.1	368
cds-WP_010257444.1-3	cds-WP_010883945.1	353
cds-WP_010257444.1-3	cds-WP_010883898.1	368
cds-WP_010257444.1-3	cds-WP_002658389.1	521
cds-WP_010257444.1-3	cds-WP_010256138.1	452
cds-WP_010257444.1-3	cds-WP_010883904.1	433
cds-WP_010257444.1-3	cds-WP_012614969.1	149
cds-WP_010257444.1-3	cds-WP_012614969.1-2	149
cds-WP_010257444.1-3	cds-WP_010890305.1	244
cds-WP_010257444.1-3	cds-WP_010890283.1	242
cds-WP_010257444.1-3	cds-WP_010883949.1	81
cds-WP_010257444.1-3	cds-BB_RS04840	79
cds-WP_010257444.1-3	cds-WP_010890602.1	7
cds-WP_010257444.1-4	cds-WP_010883889.1	1223
cds-WP_010257444.1-4	cds-WP_002658391.1	572
cds-WP_010257444.1-4	cds-WP_010890300.1	893
cds-WP_010257444.1-4	cds-WP_010890608.1	1109
cds-WP_010257444.1-4	cds-WP_010890342.1	893
cds-WP_010257444.1-4	cds-WP_044283674.1	365
cds-WP_010257444.1-4	cds-WP_002657161.1	365
cds-WP_010257444.1-4	cds-WP_010883948.1	374
cds-WP_010257444.1-4	cds-BB_RS07410	282
cds-WP_010257444.1-4	cds-WP_010890597.1	443
cds-WP_010257444.1-4	cds-WP_164928169.1	966
cds-WP_010257444.1-4	cds-WP_010890249.1	473
cds-WP_010257444.1-4	cds-WP_010890309.1	467
cds-WP_010257444.1-4	cds-WP_010890266.1	822
cds-WP_010257444.1-4	cds-BB_RS04670	729
cds-WP_010257444.1-4	cds-WP_010258574.1	485
cds-WP_010257444.1-4	cds-WP_010890321.1	368
cds-WP_010257444.1-4	cds-WP_010883945.1	353
cds-WP_010257444.1-4	cds-WP_010883898.1	368
cds-WP_010257444.1-4	cds-WP_002658389.1	521
cds-WP_010257444.1-4	cds-WP_010256138.1	452
cds-WP_010257444.1-4	cds-WP_010883904.1	433
cds-WP_010257444.1-4	cds-WP_012614969.1	149
cds-WP_010257444.1-4	cds-WP_012614969.1-2	149
cds-WP_010257444.1-4	cds-WP_010890305.1	244
cds-WP_010257444.1-4	cds-WP_010890283.1	242
cds-WP_010257444.1-4	cds-WP_010883949.1	81
cds-WP_010257444.1-4	cds-BB_RS04840	79
cds-WP_010257444.1-4	cds-WP_010890602.1	7
cds-WP_010883889.1	cds-WP_002658391.1	572
cds-WP_010883889.1	cds-WP_010890300.1	893
cds-WP_010883889.1	cds-WP_010890608.1	1109
cds-WP_010883889.1	cds-WP_010890342.1	893
cds-WP_010883889.1	cds-WP_044283674.1	365
cds-WP_010883889.1	cds-WP_002657161.1	365
cds-WP_010883889.1	cds-WP_010883948.1	374
cds-WP_010883889.1	cds-BB_RS07410	282
cds-WP_010883889.1	cds-WP_010890597.1	443
cds-WP_010883889.1	cds-WP_164928169.1	969
cds-WP_010883889.1	cds-WP_010890249.1	473
cds-WP_010883889.1	cds-WP_010890309.1	467
cds-WP_010883889.1	cds-WP_010890266.1	825
cds-WP_010883889.1	cds-BB_RS04670	729
cds-WP_010883889.1	cds-WP_010258574.1	485
cds-WP_010883889.1	cds-WP_010890321.1	368
cds-WP_010883889.1	cds-WP_010883945.1	353
cds-WP_010883889.1	cds-WP_010883898.1	368
cds-WP_010883889.1	cds-WP_002658389.1	524
cds-WP_010883889.1	cds-WP_010256138.1	455
cds-WP_010883889.1	cds-WP_010883904.1	436
cds-WP_010883889.1	cds-WP_012614969.1	149
cds-WP_010883889.1	cds-WP_012614969.1-2	149
cds-WP_010883889.1	cds-WP_010890305.1	247
cds-WP_010883889.1	cds-WP_010890283.1	245
cds-WP_010883889.1	cds-WP_010883949.1	84
cds-WP_010883889.1	cds-BB_RS04840	82
cds-WP_010883889.1	cds-WP_010890602.1	10
cds-WP_002658391.1	cds-WP_010890300.1	561
cds-WP_002658391.1	cds-WP_010890608.1	514
cds-WP_002658391.1	cds-WP_010890342.1	489
cds-WP_002658391.1	cds-WP_044283674.1	365
cds-WP_002658391.1	cds-WP_002657161.1	365
cds-WP_002658391.1	cds-WP_010883948.1	374
cds-WP_002658391.1	cds-BB_RS07410	282
cds-WP_002658391.1	cds-WP_010890597.1	369
cds-WP_002658391.1	cds-WP_164928169.1	354
cds-WP_002658391.1	cds-WP_010890249.1	347
cds-WP_002658391.1	cds-WP_010890309.1	286
cds-WP_002658391.1	cds-WP_010890266.1	210
cds-WP_002658391.1	cds-BB_RS04670	195
cds-WP_002658391.1	cds-WP_010258574.1	25
cds-WP_010890300.1	cds-WP_010890608.1	846
cds-WP_010890300.1	cds-WP_010890342.1	821
cds-WP_010890300.1	cds-WP_044283674.1	365
cds-WP_010890300.1	cds-WP_002657161.1	365
cds-WP_010890300.1	cds-WP_010883948.1	374
cds-WP_010890300.1	cds-BB_RS07410	282
cds-WP_010890300.1	cds-WP_010890597.1	443
cds-WP_010890300.1	cds-WP_164928169.1	686
cds-WP_010890300.1	cds-WP_010890249.1	473
cds-WP_010890300.1	cds-WP_010890309.1	467
cds-WP_010890300.1	cds-WP_010890266.1	542
cds-WP_010890300.1	cds-BB_RS04670	527
cds-WP_010890300.1	cds-WP_010258574.1	357
cds-WP_010890300.1	cds-WP_010890321.1	273
cds-WP_010890300.1	cds-WP_010883945.1	265
cds-WP_010890300.1	cds-WP_010883898.1	263
cds-WP_010890300.1	cds-WP_002658389.1	241
cds-WP_010890300.1	cds-WP_010256138.1	172
cds-WP_010890300.1	cds-WP_010883904.1	153
cds-WP_010890300.1	cds-WP_012614969.1	138
cds-WP_010890300.1	cds-WP_012614969.1-2	83
cds-WP_010890608.1	cds-WP_010890342.1	893
cds-WP_010890608.1	cds-WP_044283674.1	365
cds-WP_010890608.1	cds-WP_002657161.1	365
cds-WP_010890608.1	cds-WP_010883948.1	374
cds-WP_010890608.1	cds-BB_RS07410	282
cds-WP_010890608.1	cds-WP_010890597.1	443
cds-WP_010890608.1	cds-WP_164928169.1	949
cds-WP_010890608.1	cds-WP_010890249.1	473
cds-WP_010890608.1	cds-WP_010890309.1	467
cds-WP_010890608.1	cds-WP_010890266.1	805
cds-WP_010890608.1	cds-BB_RS04670	729
cds-WP_010890608.1	cds-WP_010258574.1	485
cds-WP_010890608.1	cds-WP_010890321.1	368
cds-WP_010890608.1	cds-WP_010883945.1	353
cds-WP_010890608.1	cds-WP_010883898.1	368
cds-WP_010890608.1	cds-WP_002658389.1	504
cds-WP_010890608.1	cds-WP_010256138.1	435
cds-WP_010890608.1	cds-WP_010883904.1	416
cds-WP_010890608.1	cds-WP_012614969.1	149
cds-WP_010890608.1	cds-WP_012614969.1-2	149
cds-WP_010890608.1	cds-WP_010890305.1	227
cds-WP_010890608.1	cds-WP_010890283.1	225
cds-WP_010890608.1	cds-WP_010883949.1	64
cds-WP_010890608.1	cds-BB_RS04840	62
cds-WP_010890342.1	cds-WP_044283674.1	365
cds-WP_010890342.1	cds-WP_002657161.1	365
cds-WP_010890342.1	cds-WP_010883948.1	374
cds-WP_010890342.1	cds-BB_RS07410	282
cds-WP_010890342.1	cds-WP_010890597.1	443
cds-WP_010890342.1	cds-WP_164928169.1	758
cds-WP_010890342.1	cds-WP_010890249.1	473
cds-WP_010890342.1	cds-WP_010890309.1	467
cds-WP_010890342.1	cds-WP_010890266.1	614
cds-WP_010890342.1	cds-BB_RS04670	599
cds-WP_010890342.1	cds-WP_010258574.1	429
cds-WP_010890342.1	cds-WP_010890321.1	345
cds-WP_010890342.1	cds-WP_010883945.1	337
cds-WP_010890342.1	cds-WP_010883898.1	335
cds-WP_010890342.1	cds-WP_002658389.1	313
cds-WP_010890342.1	cds-WP_010256138.1	244
cds-WP_010890342.1	cds-WP_010883904.1	225
cds-WP_010890342.1	cds-WP_012614969.1	149
cds-WP_010890342.1	cds-WP_012614969.1-2	149
cds-WP_010890342.1	cds-WP_010890305.1	36
cds-WP_010890342.1	cds-WP_010890283.1	34
cds-WP_044283674.1	cds-WP_002657161.1	355
cds-WP_044283674.1	cds-WP_010883948.1	344
cds-WP_044283674.1	cds-BB_RS07410	282
cds-WP_044283674.1	cds-WP_010890597.1	300
cds-WP_044283674.1	cds-WP_164928169.1	285
cds-WP_044283674.1	cds-WP_010890249.1	278
cds-WP_044283674.1	cds-WP_010890309.1	217
cds-WP_044283674.1	cds-WP_010890266.1	141
cds-WP_044283674.1	cds-BB_RS04670	126
cds-WP_002657161.1	cds-WP_010883948.1	354
cds-WP_002657161.1	cds-BB_RS07410	282
cds-WP_002657161.1	cds-WP_010890597.1	310
cds-WP_002657161.1	cds-WP_164928169.1	295
cds-WP_002657161.1	cds-WP_010890249.1	288
cds-WP_002657161.1	cds-WP_010890309.1	227
cds-WP_002657161.1	cds-WP_010890266.1	151
cds-WP_002657161.1	cds-BB_RS04670	136
cds-WP_010883948.1	cds-BB_RS07410	282
cds-WP_010883948.1	cds-WP_010890597.1	330
cds-WP_010883948.1	cds-WP_164928169.1	315
cds-WP_010883948.1	cds-WP_010890249.1	308
cds-WP_010883948.1	cds-WP_010890309.1	247
cds-WP_010883948.1	cds-WP_010890266.1	171
cds-WP_010883948.1	cds-BB_RS04670	156
cds-BB_RS07410	cds-WP_010890597.1	240
cds-BB_RS07410	cds-WP_164928169.1	225
cds-BB_RS07410	cds-WP_010890249.1	218
cds-BB_RS07410	cds-WP_010890309.1	157
cds-BB_RS07410	cds-WP_010890266.1	81
cds-BB_RS07410	cds-BB_RS04670	66
cds-WP_010890597.1	cds-WP_164928169.1	428
cds-WP_010890597.1	cds-WP_010890249.1	421
cds-WP_010890597.1	cds-WP_010890309.1	360
cds-WP_010890597.1	cds-WP_010890266.1	284
cds-WP_010890597.1	cds-BB_RS04670	269
cds-WP_010890597.1	cds-WP_010258574.1	99
cds-WP_010890597.1	cds-WP_010890321.1	15
cds-WP_010890597.1	cds-WP_010883945.1	7
cds-WP_010890597.1	cds-WP_010883898.1	5
cds-WP_164928169.1	cds-WP_010890249.1	473
cds-WP_164928169.1	cds-WP_010890309.1	467
cds-WP_164928169.1	cds-WP_010890266.1	998
cds-WP_164928169.1	cds-BB_RS04670	729
cds-WP_164928169.1	cds-WP_010258574.1	485
cds-WP_164928169.1	cds-WP_010890321.1	368
cds-WP_164928169.1	cds-WP_010883945.1	353
cds-WP_164928169.1	cds-WP_010883898.1	368
cds-WP_164928169.1	cds-WP_002658389.1	1028
cds-WP_164928169.1	cds-WP_010256138.1	1349
cds-WP_164928169.1	cds-WP_010883904.1	551
cds-WP_164928169.1	cds-WP_012614969.1	149
cds-WP_164928169.1	cds-WP_012614969.1-2	149
cds-WP_164928169.1	cds-WP_010890305.1	323
cds-WP_164928169.1	cds-WP_010890283.1	881
cds-WP_164928169.1	cds-WP_010883949.1	368
cds-WP_164928169.1	cds-BB_RS04840	2553
cds-WP_164928169.1	cds-WP_010890602.1	557
cds-WP_164928169.1	cds-WP_010883852.1	692
cds-WP_164928169.1	cds-WP_002658634.1	692
cds-WP_164928169.1	cds-WP_002658634.1-2	692
cds-WP_164928169.1	cds-BB_RS06275	695
cds-WP_164928169.1	cds-WP_010883821.1	692
cds-WP_164928169.1	cds-WP_002658634.1-3	692
cds-WP_164928169.1	cds-WP_010883890.1	692
cds-WP_164928169.1	cds-BB_RS07420	864
cds-WP_164928169.1	cds-WP_010883928.1	356
cds-WP_164928169.1	cds-WP_010258570.1	509
cds-WP_164928169.1	cds-WP_044283695.1	1109
cds-WP_164928169.1	cds-BB_RS05005	242
cds-WP_164928169.1	cds-BB_RS00015	1465
cds-WP_164928169.1	cds-BB_RS07810	130
cds-WP_164928169.1	cds-WP_002663300.1	560
cds-WP_164928169.1	cds-WP_010883822.1	563
cds-WP_164928169.1	cds-WP_010883767.1-2	557
cds-WP_164928169.1	cds-WP_002658736.1	557
cds-WP_164928169.1	cds-WP_010883767.1	557
cds-WP_164928169.1	cds-WP_002658736.1-2	557
cds-WP_164928169.1	cds-WP_010883790.1	563
cds-WP_164928169.1	cds-WP_010883891.1	566
cds-WP_164928169.1	cds-WP_010890375.1	848
cds-WP_164928169.1	cds-WP_044283652.1	542
cds-WP_164928169.1	cds-BB_RS04510	512
cds-WP_164928169.1	cds-WP_010883946.1	1106
cds-WP_164928169.1	cds-WP_010890313.1	710
cds-WP_164928169.1	cds-WP_011117331.1	155
cds-WP_164928169.1	cds-WP_010890590.1	1322
cds-WP_164928169.1	cds-WP_010256945.1	815
cds-WP_164928169.1	cds-WP_010883853.1	764
cds-WP_164928169.1	cds-WP_010883743.1	764
cds-WP_164928169.1	cds-WP_010883768.1	764
cds-WP_164928169.1	cds-WP_010883743.1-2	764
cds-WP_164928169.1	cds-WP_010883823.1	767
cds-WP_164928169.1	cds-WP_010883791.1	767
cds-WP_164928169.1	cds-WP_010883892.1	767
cds-WP_164928169.1	cds-WP_157659661.1	149
cds-WP_164928169.1	cds-WP_010883905.1	752
cds-WP_164928169.1	cds-WP_044283653.1	299
cds-WP_164928169.1	cds-WP_010890603.1	908
cds-WP_164928169.1	cds-WP_010883900.1	788
cds-WP_164928169.1	cds-BB_RS04515	1165
cds-WP_164928169.1	cds-BB_RS05630	610
cds-WP_164928169.1	cds-WP_010258562.1	1153
cds-WP_164928169.1	cds-WP_244264097.1	206
cds-WP_164928169.1	cds-WP_010890269.1	179
cds-WP_164928169.1	cds-WP_002657157.1	816
cds-WP_164928169.1	cds-WP_010257433.1	572
cds-WP_164928169.1	cds-WP_044283624.1	572
cds-WP_164928169.1	cds-WP_012662345.1	572
cds-WP_164928169.1	cds-WP_044283624.1-2	572
cds-WP_164928169.1	cds-WP_010883824.1	575
cds-WP_164928169.1	cds-WP_010883792.1	575
cds-WP_164928169.1	cds-BB_RS07130	574
cds-WP_164928169.1	cds-WP_020948671.1	761
cds-WP_164928169.1	cds-WP_012614973.1	140
cds-WP_164928169.1	cds-WP_231001455.1	206
cds-WP_164928169.1	cds-BB_RS07430	463
cds-WP_164928169.1	cds-WP_010890270.1	167
cds-WP_164928169.1	cds-WP_231001444.1	47
cds-WP_164928169.1	cds-WP_012665263.1	137
cds-WP_164928169.1	cds-WP_010890604.1	303
cds-WP_164928169.1	cds-WP_010890314.1	264
cds-WP_164928169.1	cds-WP_044283669.1	233
cds-WP_164928169.1	cds-WP_002658423.1-3	194
cds-WP_164928169.1	cds-WP_002658423.1	193
cds-WP_164928169.1	cds-WP_002658423.1-2	193
cds-WP_164928169.1	cds-WP_002658423.1-4	193
cds-WP_164928169.1	cds-WP_010883814.1	186
cds-WP_164928169.1	cds-WP_010883774.1	183
cds-WP_164928169.1	cds-BB_RS07135	181
cds-WP_164928169.1	cds-WP_231033839.1	129
cds-WP_164928169.1	cds-WP_010258204.1	72
cds-WP_010890249.1	cds-WP_010890309.1	412
cds-WP_010890249.1	cds-WP_010890266.1	336
cds-WP_010890249.1	cds-BB_RS04670	321
cds-WP_010890249.1	cds-WP_010258574.1	151
cds-WP_010890249.1	cds-WP_010890321.1	67
cds-WP_010890249.1	cds-WP_010883945.1	59
cds-WP_010890249.1	cds-WP_010883898.1	57
cds-WP_010890249.1	cds-WP_002658389.1	35
cds-WP_010890309.1	cds-WP_010890266.1	391
cds-WP_010890309.1	cds-BB_RS04670	376
cds-WP_010890309.1	cds-WP_010258574.1	206
cds-WP_010890309.1	cds-WP_010890321.1	122
cds-WP_010890309.1	cds-WP_010883945.1	114
cds-WP_010890309.1	cds-WP_010883898.1	112
cds-WP_010890309.1	cds-WP_002658389.1	90
cds-WP_010890309.1	cds-WP_010256138.1	21
cds-WP_010890309.1	cds-WP_010883904.1	2
cds-WP_010890266.1	cds-BB_RS04670	729
cds-WP_010890266.1	cds-WP_010258574.1	485
cds-WP_010890266.1	cds-WP_010890321.1	368
cds-WP_010890266.1	cds-WP_010883945.1	353
cds-WP_010890266.1	cds-WP_010883898.1	368
cds-WP_010890266.1	cds-WP_002658389.1	697
cds-WP_010890266.1	cds-WP_010256138.1	628
cds-WP_010890266.1	cds-WP_010883904.1	551
cds-WP_010890266.1	cds-WP_012614969.1	149
cds-WP_010890266.1	cds-WP_012614969.1-2	149
cds-WP_010890266.1	cds-WP_010890305.1	323
cds-WP_010890266.1	cds-WP_010890283.1	418
cds-WP_010890266.1	cds-WP_010883949.1	257
cds-WP_010890266.1	cds-BB_RS04840	255
cds-WP_010890266.1	cds-WP_010890602.1	183
cds-WP_010890266.1	cds-WP_010883852.1	160
cds-WP_010890266.1	cds-WP_002658634.1	159
cds-WP_010890266.1	cds-WP_002658634.1-2	159
cds-WP_010890266.1	cds-BB_RS06275	159
cds-WP_010890266.1	cds-WP_010883821.1	159
cds-WP_010890266.1	cds-WP_002658634.1-3	159
cds-WP_010890266.1	cds-WP_010883890.1	156
cds-WP_010890266.1	cds-BB_RS07420	61
cds-WP_010890266.1	cds-WP_010883928.1	55
cds-WP_010890266.1	cds-WP_010258570.1	4
cds-BB_RS04670	cds-WP_010258574.1	485
cds-BB_RS04670	cds-WP_010890321.1	368
cds-BB_RS04670	cds-WP_010883945.1	353
cds-BB_RS04670	cds-WP_010883898.1	368
cds-BB_RS04670	cds-WP_002658389.1	443
cds-BB_RS04670	cds-WP_010256138.1	374
cds-BB_RS04670	cds-WP_010883904.1	355
cds-BB_RS04670	cds-WP_012614969.1	149
cds-BB_RS04670	cds-WP_012614969.1-2	149
cds-BB_RS04670	cds-WP_010890305.1	166
cds-BB_RS04670	cds-WP_010890283.1	164
cds-BB_RS04670	cds-WP_010883949.1	3
cds-BB_RS04670	cds-BB_RS04840	1
cds-WP_010258574.1	cds-WP_010890321.1	368
cds-WP_010258574.1	cds-WP_010883945.1	353
cds-WP_010258574.1	cds-WP_010883898.1	368
cds-WP_010258574.1	cds-WP_002658389.1	369
cds-WP_010258574.1	cds-WP_010256138.1	300
cds-WP_010258574.1	cds-WP_010883904.1	281
cds-WP_010258574.1	cds-WP_012614969.1	149
cds-WP_010258574.1	cds-WP_012614969.1-2	149
cds-WP_010258574.1	cds-WP_010890305.1	92
cds-WP_010258574.1	cds-WP_010890283.1	90
cds-WP_010890321.1	cds-WP_010883945.1	353
cds-WP_010890321.1	cds-WP_010883898.1	358
cds-WP_010890321.1	cds-WP_002658389.1	336
cds-WP_010890321.1	cds-WP_010256138.1	267
cds-WP_010890321.1	cds-WP_010883904.1	248
cds-WP_010890321.1	cds-WP_012614969.1	149
cds-WP_010890321.1	cds-WP_012614969.1-2	149
cds-WP_010890321.1	cds-WP_010890305.1	59
