"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ESI26","UCT109","UCT110","UCT113","UCT29","UCT30","UCT31","UCT32","UCT35","UCT50","UCT92","UCT96","UNY149","UNY169","UNY172","UNY193","UNY203","UNY208","URI101","URI102","URI103","URI107","URI111","URI112","URI117","URI118","URI120","URI33","URI34","URI36","URI39","URI40","URI41","URI42","URI44","URI46","URI47","URI48","URI56","URI86","URI87","URI88","URI89","URI91","URI93","UWI247","UWI248","UWI263","UWI283"
"acyP","","acylphosphatase","49","49","1","63","620","","","","197","278","276","CKDGNL_05425","AIHAAB_05165","APIDPD_05030","HCLMIK_05065","DNBOAP_05155","DLCMNL_04605","GCGJFL_04965","AMNIDF_05015","JODKDA_05065","ANPAAP_05515","KCCBHE_04815","AINDPC_04640","NAHIGD_04955","GMPCOK_05175","EFMOJC_00880","KFEJKD_05250","GDPOAI_05270","CGENMI_05045","KLACFF_05150","BOHBDJ_05110","BIKOAE_04935","BAPHAO_05090","EGFPMN_05125","JIDBHP_04790","NKPDPH_04600","PIKJEB_04555","OFFMIL_04605","JHFDLE_05240","AFNEPP_04880","HCFOCN_04960","EPICMG_04920","BLADBF_05115","KKNGOI_05110","LIJDDG_05160","HFKOMI_04945","CENHHB_05010","GDCPBO_05020","HEGNPG_05545","EFDIJO_04655","GEBMJB_04945","NCOCKI_05090","OHAJAL_05330","CIPKDF_05100","DMHAMM_05165","AGFJGC_05120","GGIAGI_04370","AEKFMC_04660","EMEHFM_04850","LGKPKB_04885"
"guaA","","glutamine-hydrolyzing GMP synthase","49","49","1","63","638","","","","899","1538","1523","CKDGNL_05505","AIHAAB_05085","APIDPD_05110","HCLMIK_04985","DNBOAP_05205","DLCMNL_04685","GCGJFL_05045","AMNIDF_04965","JODKDA_05115","ANPAAP_05435","KCCBHE_04735","AINDPC_04560","NAHIGD_05035","GMPCOK_05225","EFMOJC_00830","KFEJKD_03255","GDPOAI_04915","CGENMI_04995","KLACFF_05100","BOHBDJ_05160","BIKOAE_04885","BAPHAO_05140","EGFPMN_05075","JIDBHP_04710","NKPDPH_04520","PIKJEB_04635","OFFMIL_04685","JHFDLE_05160","AFNEPP_04800","HCFOCN_04880","EPICMG_04970","BLADBF_05195","KKNGOI_05190","LIJDDG_05080","HFKOMI_04865","CENHHB_04930","GDCPBO_04940","HEGNPG_05495","EFDIJO_04575","GEBMJB_05025","NCOCKI_05170","OHAJAL_05380","CIPKDF_05150","DMHAMM_05085","AGFJGC_05070","GGIAGI_04905","AEKFMC_05185","EMEHFM_04065","LGKPKB_04835"
"infB","","translation initiation factor IF-2","49","49","1","63","3278","","","","1991","2648","2594","CKDGNL_00225","AIHAAB_01325","APIDPD_01960","HCLMIK_00215","DNBOAP_01325","DLCMNL_00215","GCGJFL_01325","AMNIDF_01960","JODKDA_01955","ANPAAP_01955","KCCBHE_00215","AINDPC_01955","NAHIGD_04045","GMPCOK_02860","EFMOJC_03785","KFEJKD_03875","GDPOAI_04395","CGENMI_04045","KLACFF_01325","BOHBDJ_01325","BIKOAE_01960","BAPHAO_01325","EGFPMN_01960","JIDBHP_01960","NKPDPH_01955","PIKJEB_00210","OFFMIL_00220","JHFDLE_01955","AFNEPP_00030","HCFOCN_01955","EPICMG_00225","BLADBF_01960","KKNGOI_00230","LIJDDG_01960","HFKOMI_00210","CENHHB_00215","GDCPBO_00215","HEGNPG_01955","EFDIJO_04240","GEBMJB_00215","NCOCKI_01325","OHAJAL_00210","CIPKDF_01325","DMHAMM_01325","AGFJGC_01325","GGIAGI_01855","AEKFMC_03475","EMEHFM_03770","LGKPKB_03145"
"group_1346","Lipoprotein","Lipoprotein","49","49","1","63","3238","","","","1148","1616","1587","CKDGNL_00035","AIHAAB_01515","APIDPD_02150","HCLMIK_00025","DNBOAP_01515","DLCMNL_00025","GCGJFL_01515","AMNIDF_02150","JODKDA_02145","ANPAAP_02145","KCCBHE_00025","AINDPC_02145","NAHIGD_04240","GMPCOK_03050","EFMOJC_06120","KFEJKD_03655","GDPOAI_03060","CGENMI_04235","KLACFF_01515","BOHBDJ_01515","BIKOAE_02150","BAPHAO_01515","EGFPMN_02150","JIDBHP_02150","NKPDPH_02145","PIKJEB_00020","OFFMIL_00030","JHFDLE_02145","AFNEPP_00220","HCFOCN_02145","EPICMG_00035","BLADBF_02150","KKNGOI_00040","LIJDDG_02150","HFKOMI_00020","CENHHB_00025","GDCPBO_00025","HEGNPG_02145","EFDIJO_04050","GEBMJB_00025","NCOCKI_01515","OHAJAL_00020","CIPKDF_01515","DMHAMM_01515","AGFJGC_01515","GGIAGI_03565","AEKFMC_03225","EMEHFM_04930","LGKPKB_04035"
"group_1348","Lipoprotein","Lipoprotein","49","49","1","63","3240","","","","473","548","543","CKDGNL_00045","AIHAAB_01505","APIDPD_02140","HCLMIK_00035","DNBOAP_01505","DLCMNL_00035","GCGJFL_01505","AMNIDF_02140","JODKDA_02135","ANPAAP_02135","KCCBHE_00035","AINDPC_02135","NAHIGD_04230","GMPCOK_03040","EFMOJC_06110","KFEJKD_03665","GDPOAI_03050","CGENMI_04225","KLACFF_01505","BOHBDJ_01505","BIKOAE_02140","BAPHAO_01505","EGFPMN_02140","JIDBHP_02140","NKPDPH_02135","PIKJEB_00030","OFFMIL_00040","JHFDLE_02135","AFNEPP_00210","HCFOCN_02135","EPICMG_00045","BLADBF_02140","KKNGOI_00050","LIJDDG_02140","HFKOMI_00030","CENHHB_00035","GDCPBO_00035","HEGNPG_02135","EFDIJO_04060","GEBMJB_00035","NCOCKI_01505","OHAJAL_00030","CIPKDF_01505","DMHAMM_01505","AGFJGC_01505","GGIAGI_03575","AEKFMC_03215","EMEHFM_04920","LGKPKB_04025"
"panF","","sodium/pantothenate symporter","49","49","1","63","3266","","","","323","1334","1313","CKDGNL_00165","AIHAAB_01385","APIDPD_02020","HCLMIK_00155","DNBOAP_01385","DLCMNL_00155","GCGJFL_01385","AMNIDF_02020","JODKDA_02015","ANPAAP_02015","KCCBHE_00155","AINDPC_02015","NAHIGD_04105","GMPCOK_02920","EFMOJC_05990","KFEJKD_03780","GDPOAI_04720","CGENMI_04105","KLACFF_01385","BOHBDJ_01385","BIKOAE_02020","BAPHAO_01385","EGFPMN_02020","JIDBHP_02020","NKPDPH_02015","PIKJEB_00150","OFFMIL_00160","JHFDLE_02015","AFNEPP_00090","HCFOCN_02015","EPICMG_00165","BLADBF_02020","KKNGOI_00170","LIJDDG_02020","HFKOMI_00150","CENHHB_00155","GDCPBO_00155","HEGNPG_02015","EFDIJO_04180","GEBMJB_00155","NCOCKI_01385","OHAJAL_00150","CIPKDF_01385","DMHAMM_01385","AGFJGC_01385","GGIAGI_03515","AEKFMC_04950","EMEHFM_04275","LGKPKB_03905"
"lptF","","Lipopolysaccharide export LptBFGC system, permease protein LptF","49","49","1","63","3272","","","","206","1289","1248","CKDGNL_00195","AIHAAB_01355","APIDPD_01990","HCLMIK_00185","DNBOAP_01355","DLCMNL_00185","GCGJFL_01355","AMNIDF_01990","JODKDA_01985","ANPAAP_01985","KCCBHE_00185","AINDPC_01985","NAHIGD_04075","GMPCOK_02890","EFMOJC_05960","KFEJKD_03005","GDPOAI_04455","CGENMI_04075","KLACFF_01355","BOHBDJ_01355","BIKOAE_01990","BAPHAO_01355","EGFPMN_01990","JIDBHP_01990","NKPDPH_01985","PIKJEB_00180","OFFMIL_00190","JHFDLE_01985","AFNEPP_00060","HCFOCN_01985","EPICMG_00195","BLADBF_01990","KKNGOI_00200","LIJDDG_01990","HFKOMI_00180","CENHHB_00185","GDCPBO_00185","HEGNPG_01985","EFDIJO_04210","GEBMJB_00185","NCOCKI_01355","OHAJAL_00180","CIPKDF_01355","DMHAMM_01355","AGFJGC_01355","GGIAGI_03545","AEKFMC_03445","EMEHFM_03250","LGKPKB_03875"
"LytR/CpsA/Psr regulator C-terminal domain-containing protein","","LytR/CpsA/Psr regulator C-terminal domain-containing protein","49","49","1","63","3297","","","","368","1184","1151","CKDGNL_00320","AIHAAB_01230","APIDPD_01865","HCLMIK_00310","DNBOAP_01230","DLCMNL_00310","GCGJFL_01230","AMNIDF_01865","JODKDA_01860","ANPAAP_01860","KCCBHE_00310","AINDPC_01860","NAHIGD_03950","GMPCOK_02765","EFMOJC_03690","KFEJKD_03550","GDPOAI_03660","CGENMI_03950","KLACFF_01230","BOHBDJ_01230","BIKOAE_01865","BAPHAO_01230","EGFPMN_01865","JIDBHP_01865","NKPDPH_01860","PIKJEB_00305","OFFMIL_00315","JHFDLE_01860","AFNEPP_00790","HCFOCN_01860","EPICMG_00320","BLADBF_01865","KKNGOI_00325","LIJDDG_01865","HFKOMI_00305","CENHHB_00310","GDCPBO_00310","HEGNPG_01860","EFDIJO_00095","GEBMJB_00310","NCOCKI_01230","OHAJAL_00300","CIPKDF_01230","DMHAMM_01230","AGFJGC_01230","GGIAGI_01950","AEKFMC_04405","EMEHFM_01255","LGKPKB_03050"
"flgJ1","","Rod binding protein domain","49","49","1","63","3312","","","","185","344","323","CKDGNL_00380","AIHAAB_01170","APIDPD_01805","HCLMIK_00370","DNBOAP_01170","DLCMNL_00370","GCGJFL_01170","AMNIDF_01805","JODKDA_01800","ANPAAP_01800","KCCBHE_00370","AINDPC_01800","NAHIGD_03890","GMPCOK_02705","EFMOJC_03630","KFEJKD_02765","GDPOAI_03460","CGENMI_03890","KLACFF_01170","BOHBDJ_01170","BIKOAE_01805","BAPHAO_01170","EGFPMN_01805","JIDBHP_01805","NKPDPH_01800","PIKJEB_00365","OFFMIL_00375","JHFDLE_01800","AFNEPP_00850","HCFOCN_01800","EPICMG_00380","BLADBF_01805","KKNGOI_00385","LIJDDG_01805","HFKOMI_00365","CENHHB_00370","GDCPBO_00370","HEGNPG_01800","EFDIJO_00155","GEBMJB_00370","NCOCKI_01170","OHAJAL_00360","CIPKDF_01170","DMHAMM_01170","AGFJGC_01170","GGIAGI_05070","AEKFMC_03415","EMEHFM_02900","LGKPKB_02990"
"DUF4340 domain-containing protein","","DUF4340 domain-containing protein","49","49","1","63","3335","","","","992","1013","1011","CKDGNL_00485","AIHAAB_01065","APIDPD_01700","HCLMIK_00475","DNBOAP_01065","DLCMNL_00475","GCGJFL_01065","AMNIDF_01700","JODKDA_01695","ANPAAP_01695","KCCBHE_00475","AINDPC_01695","NAHIGD_03785","GMPCOK_02600","EFMOJC_03525","KFEJKD_01160","GDPOAI_03665","CGENMI_03785","KLACFF_01065","BOHBDJ_01065","BIKOAE_01700","BAPHAO_01065","EGFPMN_01700","JIDBHP_01700","NKPDPH_01695","PIKJEB_00470","OFFMIL_00480","JHFDLE_01695","AFNEPP_00955","HCFOCN_01695","EPICMG_00485","BLADBF_01700","KKNGOI_00490","LIJDDG_01700","HFKOMI_00470","CENHHB_00475","GDCPBO_00475","HEGNPG_01695","EFDIJO_00260","GEBMJB_00475","NCOCKI_01065","OHAJAL_00465","CIPKDF_01065","DMHAMM_01065","AGFJGC_01065","GGIAGI_00535","AEKFMC_03310","EMEHFM_00585","LGKPKB_02885"
"UPF0127 protein","","UPF0127 protein","49","49","1","63","723","","","","443","449","448","CKDGNL_00930","AIHAAB_00620","APIDPD_01255","HCLMIK_00920","DNBOAP_00620","DLCMNL_00920","GCGJFL_00620","AMNIDF_01255","JODKDA_01250","ANPAAP_01250","KCCBHE_00920","AINDPC_01250","NAHIGD_03340","GMPCOK_02155","EFMOJC_03080","KFEJKD_00930","GDPOAI_01705","CGENMI_03340","KLACFF_00620","BOHBDJ_00620","BIKOAE_01255","BAPHAO_00620","EGFPMN_01255","JIDBHP_01255","NKPDPH_01250","PIKJEB_00915","OFFMIL_00925","JHFDLE_01250","AFNEPP_01400","HCFOCN_01250","EPICMG_00930","BLADBF_01255","KKNGOI_00935","LIJDDG_01255","HFKOMI_00915","CENHHB_00920","GDCPBO_00920","HEGNPG_01250","EFDIJO_00705","GEBMJB_00920","NCOCKI_00620","OHAJAL_00910","CIPKDF_00620","DMHAMM_00620","AGFJGC_00620","GGIAGI_03865","AEKFMC_02225","EMEHFM_02125","LGKPKB_03640"
"recD","","exodeoxyribonuclease V subunit alpha","49","49","1","63","690","","","","143","1832","1768","CKDGNL_01085","AIHAAB_00465","APIDPD_01100","HCLMIK_01075","DNBOAP_00465","DLCMNL_01075","GCGJFL_00465","AMNIDF_01100","JODKDA_01095","ANPAAP_01095","KCCBHE_01075","AINDPC_01095","NAHIGD_03185","GMPCOK_02000","EFMOJC_02925","KFEJKD_01765","GDPOAI_03175","CGENMI_03185","KLACFF_00465","BOHBDJ_00465","BIKOAE_01100","BAPHAO_00465","EGFPMN_01100","JIDBHP_01100","NKPDPH_01095","PIKJEB_01070","OFFMIL_01080","JHFDLE_01095","AFNEPP_01555","HCFOCN_01095","EPICMG_01085","BLADBF_01100","KKNGOI_01090","LIJDDG_01100","HFKOMI_01070","CENHHB_01075","GDCPBO_01075","HEGNPG_01095","EFDIJO_00860","GEBMJB_01075","NCOCKI_00465","OHAJAL_01065","CIPKDF_00465","DMHAMM_00465","AGFJGC_00465","GGIAGI_02085","AEKFMC_00870","EMEHFM_05250","LGKPKB_00080"
"group_1369","mtnN","5'-methylthioadenosine/adenosylhomocysteine nucleosidase","49","49","1","63","598","","","","797","797","797","CKDGNL_01335","AIHAAB_00215","APIDPD_00850","HCLMIK_01325","DNBOAP_00215","DLCMNL_01325","GCGJFL_00215","AMNIDF_00850","JODKDA_00845","ANPAAP_00845","KCCBHE_01325","AINDPC_00845","NAHIGD_02935","GMPCOK_01750","EFMOJC_02675","KFEJKD_03060","GDPOAI_03755","CGENMI_02935","KLACFF_00215","BOHBDJ_00215","BIKOAE_00850","BAPHAO_00215","EGFPMN_00850","JIDBHP_00850","NKPDPH_00845","PIKJEB_01320","OFFMIL_01330","JHFDLE_00845","AFNEPP_01805","HCFOCN_00845","EPICMG_01335","BLADBF_00850","KKNGOI_01340","LIJDDG_00850","HFKOMI_01320","CENHHB_01325","GDCPBO_01325","HEGNPG_00845","EFDIJO_01110","GEBMJB_01325","NCOCKI_00215","OHAJAL_01315","CIPKDF_00215","DMHAMM_00215","AGFJGC_00215","GGIAGI_03640","AEKFMC_01120","EMEHFM_02000","LGKPKB_00330"
"ABC transporter permease","","ABC transporter permease","49","49","1","63","583","","","","359","851","826","CKDGNL_01405","AIHAAB_00145","APIDPD_00780","HCLMIK_01395","DNBOAP_00145","DLCMNL_01395","GCGJFL_00145","AMNIDF_00780","JODKDA_00775","ANPAAP_00775","KCCBHE_01395","AINDPC_00775","NAHIGD_02865","GMPCOK_01680","EFMOJC_02605","KFEJKD_05855","GDPOAI_05490","CGENMI_02865","KLACFF_00145","BOHBDJ_00145","BIKOAE_00780","BAPHAO_00145","EGFPMN_00780","JIDBHP_00780","NKPDPH_00775","PIKJEB_01390","OFFMIL_01400","JHFDLE_00775","AFNEPP_01875","HCFOCN_00775","EPICMG_01405","BLADBF_00780","KKNGOI_01410","LIJDDG_00780","HFKOMI_01390","CENHHB_01395","GDCPBO_01395","HEGNPG_00775","EFDIJO_01180","GEBMJB_01395","NCOCKI_00145","OHAJAL_01385","CIPKDF_00145","DMHAMM_00145","AGFJGC_00145","GGIAGI_05310","AEKFMC_01190","EMEHFM_05005","LGKPKB_00400"
"Methyl-accepting chemotaxis protein","","Methyl-accepting chemotaxis protein","49","49","1","63","578","","","","200","1772","1710","CKDGNL_01435","AIHAAB_00115","APIDPD_00750","HCLMIK_01425","DNBOAP_00115","DLCMNL_01425","GCGJFL_00115","AMNIDF_00750","JODKDA_00745","ANPAAP_00745","KCCBHE_01425","AINDPC_00745","NAHIGD_02835","GMPCOK_01650","EFMOJC_02575","KFEJKD_07000","GDPOAI_02305","CGENMI_02835","KLACFF_00115","BOHBDJ_00115","BIKOAE_00750","BAPHAO_00115","EGFPMN_00750","JIDBHP_00750","NKPDPH_00745","PIKJEB_01420","OFFMIL_01430","JHFDLE_00745","AFNEPP_01905","HCFOCN_00745","EPICMG_01435","BLADBF_00750","KKNGOI_01440","LIJDDG_00750","HFKOMI_01420","CENHHB_01425","GDCPBO_01425","HEGNPG_00745","EFDIJO_01210","GEBMJB_01425","NCOCKI_00115","OHAJAL_01415","CIPKDF_00115","DMHAMM_00115","AGFJGC_00115","GGIAGI_03710","AEKFMC_01220","EMEHFM_05975","LGKPKB_00430"
