method,sample
illumina,UNY133_200
illumina,UNY134_200
illumina,UNY135_200
illumina,UNY136_200
illumina,UNY137_200
illumina,UNY138_200
illumina,UNY139_200
illumina,UNY140_200
illumina,UNY141_200
illumina,UNY142_200
illumina,UNY143_200
illumina,UNY144_200
illumina,UNY145_200
illumina,UNY146_200
illumina,UNY147_200
illumina,UNY148_200
illumina,UNY149_200
illumina,UNY150_200
illumina,UNY151_200
illumina,UNY152_200
illumina,UNY153_200
illumina,UNY154_200
illumina,UNY155_200
illumina,UNY156_200
illumina,UNY157_200
illumina,UNY158_200
illumina,UNY159_200
illumina,UNY160_200
illumina,UNY161_200
illumina,UNY162_200
illumina,UNY163_200
illumina,UNY164_200
illumina,UNY165_200
illumina,UNY166_200
illumina,UNY167_200
illumina,UNY168_200
illumina,UNY169_200
illumina,UNY170_200
illumina,UNY171_200
illumina,UNY172_200
illumina,UNY173_200
illumina,UNY174_200
illumina,UNY175_200
illumina,UNY176_200
illumina,UNY177_200
illumina,UNY178_200
illumina,UNY179_200
illumina,UNY180_200
illumina,UNY181_200
illumina,UNY182_200
illumina,UNY183_200
illumina,UNY184_200
illumina,UNY185_200
illumina,UNY187_200
illumina,UNY188_200
illumina,UNY189_200
illumina,UNY190_200
illumina,UNY191_200
illumina,UNY192_200
illumina,UNY193_200
illumina,UNY194_200
illumina,UNY195_200
illumina,UNY196_200
illumina,UNY197_200
illumina,UNY199_200
illumina,UNY200_200
illumina,UNY201_200
illumina,UNY202_200
illumina,UNY203_200
illumina,UNY204_200
illumina,UNY205_200
illumina,UNY206_200
illumina,UNY207_200
illumina,UNY208_200
illumina,UNY209_200
illumina,UNY210_200
illumina,UNY211_200
illumina,UNY212_200
illumina,UNY213_200
illumina,UNY214_200
illumina,UNY215_200
illumina,UNY216_200
illumina,UNY217_200
illumina,UNY218_200
illumina,URI100_200
illumina,URI101_200
illumina,URI102_200
illumina,URI103_200
illumina,URI105_200
illumina,URI107_200
illumina,URI108_200
illumina,URI111_200
illumina,URI112_200
illumina,URI114_200
illumina,URI116_200
illumina,URI117_200
illumina,URI118_200
illumina,URI119_200
illumina,URI120_200
illumina,URI122_200
illumina,URI17_200
illumina,URI19_200
illumina,URI20_200
illumina,URI219_200
illumina,URI22_200
illumina,URI23_200
illumina,URI24_200
illumina,URI33_200
illumina,URI34_200
illumina,URI36_200
illumina,URI37_200
illumina,URI38_200
illumina,URI39_200
illumina,URI40_200
illumina,URI41_200
illumina,URI42_200
illumina,URI43_200
illumina,URI44_200
illumina,URI46_200
illumina,URI47_200
illumina,URI48_200
illumina,URI49_200
illumina,URI52_200
illumina,URI53_200
illumina,URI54_200
illumina,URI55_200
illumina,URI56_200
illumina,URI57_200
illumina,URI58_200
illumina,URI59_200
illumina,URI60_200
illumina,URI61_200
illumina,URI63_200
illumina,URI64_200
illumina,URI65_200
illumina,URI67_200
illumina,URI68_200
illumina,URI70_200
illumina,URI71_200
illumina,URI72_200
illumina,URI75_200
illumina,URI77_200
illumina,URI78_200
illumina,URI79_200
illumina,URI81_200
illumina,URI84_200
illumina,URI85_200
illumina,URI86_200
illumina,URI87_200
illumina,URI88_200
illumina,URI89_200
illumina,URI90_200
illumina,URI91_200
illumina,URI93_200
illumina,URI94_200
illumina,URI97_200
illumina,URI98_200
illumina,URI99_200
illumina,UWI220_200
illumina,UWI221_200
illumina,UWI222_200
illumina,UWI223_200
illumina,UWI224_200
illumina,UWI225_200
illumina,UWI226_200
illumina,UWI227_200
illumina,UWI228_200
illumina,UWI229_200
illumina,UWI230_200
illumina,UWI231_200
illumina,UWI232_200
illumina,UWI233_200
illumina,UWI234_200
illumina,UWI235_200
illumina,UWI236_200
illumina,UWI237_200
illumina,UWI238_200
illumina,UWI239_200
illumina,UWI240_200
illumina,UWI241_200
illumina,UWI242_200
illumina,UWI243_200
illumina,UWI244_200
illumina,UWI245_200
illumina,UWI246_200
illumina,UWI247_200
illumina,UWI248_200
illumina,UWI249_200
illumina,UWI250_200
illumina,UWI251_200
illumina,UWI252_200
illumina,UWI253_200
illumina,UWI254_200
illumina,UWI255_200
illumina,UWI256_200
illumina,UWI257_200
illumina,UWI258_200
illumina,UWI260_200
illumina,UWI261_200
illumina,UWI262_200
illumina,UWI263_200
illumina,UWI264_200
illumina,UWI265_200
illumina,UWI267_200
illumina,UWI268_200
illumina,UWI269_200
illumina,UWI270_200
illumina,UWI271_200
illumina,UWI272_200
illumina,UWI273_200
illumina,UWI274_200
illumina,UWI275_200
illumina,UWI276_200
illumina,UWI277_200
illumina,UWI278_200
illumina,UWI279_200
illumina,UWI280_200
illumina,UWI281_200
illumina,UWI282_200
illumina,UWI283_200
nanopore,5A18NP1-JBb08-A
nanopore,5A18NP1-JBb08-B
nanopore,5A18NP1-JBb08-C
nanopore,5A18NP1-JBb08-D
nanopore,5A18NP1-JBb08-E
nanopore,B31-5A4
nanopore,B31-K2
nanopore,BB-8
nanopore,BG001_C7
nanopore,BL082_H1
nanopore,BL091_B31E2_erpP
nanopore,HB-19
nanopore,N40_HP
pacbio,B247
pacbio,B331
pacbio,B348
pacbio,B356
pacbio,B418
pacbio,B477
pacbio,B483
pacbio,B500
pacbio,BL206
pacbio,BL224
pacbio,BL515
pacbio,BL522
pacbio,BL546
pacbio,MC104
pacbio,MC105
pacbio,MC123
pacbio,MC149
pacbio,MR614
pacbio,MR616
pacbio,MR641
