CFHKPG_00001	Uncharacterized protein BB_0001
CFHKPG_00088	Uncharacterized protein BB_0089
CFHKPG_00089	V-type ATP synthase subunit K
CFHKPG_00090	atpI
CFHKPG_00091	atpD
CFHKPG_00092	atpB
CFHKPG_00093	atpA
CFHKPG_00094	Uncharacterized protein BB_0095
CFHKPG_00095	atpE
CFHKPG_00096	Uncharacterized protein BB_0097
CFHKPG_00097	mutS2
CFHKPG_00098	rsgA
CFHKPG_00099	murI
CFHKPG_00100	asnS
CFHKPG_00101	SPOR domain-containing protein
CFHKPG_00102	hpt1
CFHKPG_00103	degQ
CFHKPG_00104	map
CFHKPG_00105	group_4025
CFHKPG_00106	nusB
CFHKPG_00107	surA
CFHKPG_00108	paaJ
CFHKPG_00109	group_1508
CFHKPG_00110	dnaB
CFHKPG_00111	rplI
CFHKPG_00112	rpsR
CFHKPG_00113	ssb
CFHKPG_00114	rpsF
CFHKPG_00115	ptsG2
CFHKPG_00116	yqfA
CFHKPG_00117	rseP
CFHKPG_00118	Phosphatidate cytidylyltransferase
CFHKPG_00119	uppS
CFHKPG_00120	frr
CFHKPG_00121	tsf
CFHKPG_00122	rpsB
CFHKPG_00123	group_1923
CFHKPG_00124	group_1924
CFHKPG_00125	Tetratricopeptide repeat domain protein
CFHKPG_00126	rpsA
CFHKPG_00127	cmk
CFHKPG_00128	rsuA
CFHKPG_00129	Segregation and condensation protein A
CFHKPG_00130	recA
CFHKPG_00131	greA
CFHKPG_00132	group_3152
CFHKPG_00133	group_4486
CFHKPG_00134	hisS
CFHKPG_00135	ftsI
CFHKPG_00136	group_3913
CFHKPG_00137	Nitrogen regulatory protein P-II
CFHKPG_00138	Acriflavine resistance protein
CFHKPG_00139	acrA
CFHKPG_00140	tolC
CFHKPG_00141	group_2140
CFHKPG_00142	proX
CFHKPG_00143	proW
CFHKPG_00144	proV
CFHKPG_00145	flaB
CFHKPG_00146	fliD
CFHKPG_00147	nagA
CFHKPG_00148	nagB
CFHKPG_00149	sod
CFHKPG_00150	secA
CFHKPG_00151	Lipoprotein
CFHKPG_00152	group_1682
CFHKPG_00153	Integral membrane protein
CFHKPG_00154	group_1563
CFHKPG_00155	S2/P23 family protein
CFHKPG_00156	alr
CFHKPG_00157	YD repeat protein
CFHKPG_00158	50S ribosomal protein L33
CFHKPG_00159	group_3949
CFHKPG_00160	K+-dependent Na+/Ca+ exchanger-like protein
CFHKPG_00161	putative glycosyl hydrolase, alpha amylase family
CFHKPG_00162	4-alpha-glucanotransferase
CFHKPG_00163	ompA
CFHKPG_00164	dksA
CFHKPG_00165	infA
CFHKPG_00166	SH3b domain-containing protein
CFHKPG_00167	group_4424
CFHKPG_00168	terY
CFHKPG_00169	chlD
CFHKPG_00170	batD
CFHKPG_00171	yeaD2
CFHKPG_00172	moxR
CFHKPG_00173	rsmG
CFHKPG_00174	mnmG
CFHKPG_00175	mnmE
CFHKPG_00176	flbF
CFHKPG_00177	flgK
CFHKPG_00178	flgL
CFHKPG_00179	fliW
CFHKPG_00180	csrA
CFHKPG_00181	tsaB
CFHKPG_00182	tsaE
CFHKPG_00183	group_4133
CFHKPG_00184	rplT
CFHKPG_00185	rpmI
CFHKPG_00186	infC
CFHKPG_00187	Yip1 domain-containing protein
CFHKPG_00188	group_4166
CFHKPG_00189	tatD
CFHKPG_00190	lapB
CFHKPG_00191	prfA
CFHKPG_00192	prmC
CFHKPG_00193	spoT
CFHKPG_00194	Putative membrane protein
CFHKPG_00195	ddl
CFHKPG_00196	murE
CFHKPG_00198	group_1685
CFHKPG_00199	hflK
CFHKPG_00200	hflC
CFHKPG_00203	hDGYP
CFHKPG_00204	rsmD
CFHKPG_00205	UTP--glucose-1-phosphate uridylyltransferase
CFHKPG_00206	BB_0208 family protein
CFHKPG_00207	group_3877
CFHKPG_00208	lmp1
CFHKPG_00209	mutL
CFHKPG_00210	group_4387
CFHKPG_00212	group_4225
CFHKPG_00213	efp
CFHKPG_00214	pstS
CFHKPG_00215	pstC
CFHKPG_00216	pstA
CFHKPG_00217	pstB
CFHKPG_00218	zupT
CFHKPG_00219	alaS
CFHKPG_00220	fliG
CFHKPG_00221	pgl
CFHKPG_00222	Putative lipoprotein
CFHKPG_00223	group_1420
CFHKPG_00224	group_1935
CFHKPG_00225	serS
CFHKPG_00226	DUF3298 domain-containing protein
CFHKPG_00227	cym1
CFHKPG_00228	rpmE2
CFHKPG_00229	rho
CFHKPG_00230	group_3407
CFHKPG_00231	hbb
CFHKPG_00232	rpsT
CFHKPG_00233	group_1687
CFHKPG_00234	ychF
CFHKPG_00235	yncE
CFHKPG_00236	lnt
CFHKPG_00237	group_3686
CFHKPG_00238	dck
CFHKPG_00239	glpF
CFHKPG_00240	glpK
CFHKPG_00241	glpA
CFHKPG_00242	yaaR
CFHKPG_00243	ccmA
CFHKPG_00244	group_3922
CFHKPG_00245	rdgB
CFHKPG_00246	pepF
CFHKPG_00247	pcs
CFHKPG_00248	dedA
CFHKPG_00250	leuS
CFHKPG_00251	mMPL
CFHKPG_00252	group_4000
CFHKPG_00253	recJ
CFHKPG_00254	nlpD
CFHKPG_00255	rpsU
CFHKPG_00256	ftsK
CFHKPG_00257	uppP
CFHKPG_00258	mltE
CFHKPG_00259	group_1564
CFHKPG_00260	tPR
CFHKPG_00261	group_1937
CFHKPG_00262	group_3679
CFHKPG_00263	group_3376
CFHKPG_00264	Uncharacterized protein BB_0265
CFHKPG_00265	Uncharacterized protein BB_0266
CFHKPG_00266	fapA
CFHKPG_00267	hfq
CFHKPG_00268	group_3603
CFHKPG_00269	flhF
CFHKPG_00270	flhA
CFHKPG_00271	flhB
CFHKPG_00272	fliR
CFHKPG_00273	fliQ
CFHKPG_00274	fliP
CFHKPG_00275	fliZ
CFHKPG_00276	fliN
CFHKPG_00277	fliM
CFHKPG_00278	fliL
CFHKPG_00279	motB
CFHKPG_00280	motA
CFHKPG_00281	swrD
CFHKPG_00282	flgE
CFHKPG_00283	flgD
CFHKPG_00284	fliK
CFHKPG_00285	Flagellar protein
CFHKPG_00286	group_1939
CFHKPG_00287	fliI
CFHKPG_00288	fliH
CFHKPG_00289	group_3598
CFHKPG_00290	fliF
CFHKPG_00291	fliE
CFHKPG_00292	flgC
CFHKPG_00293	flgB
CFHKPG_00294	hslU
CFHKPG_00295	hslV
CFHKPG_00296	dprA
CFHKPG_00297	TPR repeat-containing protein BB_0298
CFHKPG_00298	ftsZ
CFHKPG_00299	ftsA
CFHKPG_00300	ftsQ
CFHKPG_00301	ftsW
CFHKPG_00302	mraY
CFHKPG_00303	murF
CFHKPG_00304	ftsL
CFHKPG_00305	rsmH
CFHKPG_00306	group_4135
CFHKPG_00307	group_3292
CFHKPG_00308	group_3815
CFHKPG_00309	nadK
CFHKPG_00310	cheW
CFHKPG_00311	rlmE
CFHKPG_00312	ispA
CFHKPG_00313	group_3591
CFHKPG_00314	group_3839
CFHKPG_00315	group_4136
CFHKPG_00316	mglA
CFHKPG_00317	nupN
CFHKPG_00318	group_3824
CFHKPG_00319	xkdP
CFHKPG_00320	bamD
CFHKPG_00321	VWFA domain-containing protein
CFHKPG_00322	group_3540
CFHKPG_00323	Glycerol-3-phosphate O-acyltransferase
CFHKPG_00324	group_2258
CFHKPG_00325	oppA
CFHKPG_00326	group_4012
CFHKPG_00327	dppB
CFHKPG_00328	dppC
CFHKPG_00329	dppD
CFHKPG_00330	gsiA
CFHKPG_00331	P26
CFHKPG_00332	eno
CFHKPG_00333	rpsI
CFHKPG_00334	rplM
CFHKPG_00335	Uncharacterized protein BB_0340
CFHKPG_00336	gatB
CFHKPG_00337	gatA
CFHKPG_00338	gatC
CFHKPG_00339	uvrD
CFHKPG_00340	BB_0345 family helix-turn-helix protein
CFHKPG_00341	group_3907
CFHKPG_00342	rqcH
CFHKPG_00343	pyk
CFHKPG_00344	amrB
CFHKPG_00345	rpmB
CFHKPG_00346	group_3341
CFHKPG_00347	group_3928
CFHKPG_00348	Permease
CFHKPG_00349	LptF/LptG family permease
CFHKPG_00350	cdnL
CFHKPG_00351	UDP-N-acetyl-D-mannosaminuronic acid transferase (WecB/TagA/CpsF family)
CFHKPG_00352	rsmE2
CFHKPG_00353	ctpA
CFHKPG_00354	group_2259
CFHKPG_00355	group_1947
CFHKPG_00356	lgt
CFHKPG_00357	pdeA
CFHKPG_00358	mgsA
CFHKPG_00359	p22
CFHKPG_00360	apeA
CFHKPG_00361	group_1698
CFHKPG_00362	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
CFHKPG_00363	group_1950
CFHKPG_00364	tyrS
CFHKPG_00365	glyQS
CFHKPG_00366	gltX
CFHKPG_00367	P31-23
CFHKPG_00368	pdeB
CFHKPG_00369	group_3876
CFHKPG_00370	metK
CFHKPG_00371	luxS
CFHKPG_00372	Uncharacterized protein BB_0378
CFHKPG_00373	hinT
CFHKPG_00374	mgtE
CFHKPG_00375	treA
CFHKPG_00376	bmpB
CFHKPG_00377	bmpA
CFHKPG_00378	bmpC
CFHKPG_00379	bmpD
CFHKPG_00380	rpsG
CFHKPG_00381	rpsL
CFHKPG_00382	rpoC
CFHKPG_00383	rpoB
CFHKPG_00384	rplL
CFHKPG_00385	rplJ
CFHKPG_00386	rplA
CFHKPG_00387	rplK
CFHKPG_00388	nusG
CFHKPG_00389	secE
CFHKPG_00391	rpmG
CFHKPG_00393	group_4269
CFHKPG_00394	group_1951
CFHKPG_00395	aNKYR
CFHKPG_00396	group_4275
CFHKPG_00397	gltP
CFHKPG_00398	proS
CFHKPG_00399	putative secreted protein
CFHKPG_00400	group_4096
CFHKPG_00401	DUF3996 domain-containing protein
CFHKPG_00402	group_4276
CFHKPG_00403	manA
CFHKPG_00404	group_3369
CFHKPG_00405	group_1952
CFHKPG_00406	Endonuclease
CFHKPG_00407	Membrane protein, putative
CFHKPG_00408	sEC59
CFHKPG_00409	group_3988
CFHKPG_00410	cheB
CFHKPG_00411	Pheromone shutdown protein TraB, contains GTxH motif (function unknown)
CFHKPG_00412	adk
CFHKPG_00413	Outer membrane protein
CFHKPG_00414	rrp1
CFHKPG_00415	group_4377
CFHKPG_00420	group_1702
CFHKPG_00421	mpg
CFHKPG_00423	group_2644
CFHKPG_00426	rCL
CFHKPG_00427	rsmI
CFHKPG_00428	DUF3784 domain-containing protein
CFHKPG_00429	DUF1893 domain-containing protein
CFHKPG_00430	Impact N-terminal domain-containing protein
CFHKPG_00431	parA
CFHKPG_00432	Borrelia PFam57/62 partition protein
CFHKPG_00433	parB
CFHKPG_00434	gyrA
CFHKPG_00435	gyrB
CFHKPG_00436	dnaA
CFHKPG_00437	dnaN
CFHKPG_00438	Uncharacterized protein BB_0439
CFHKPG_00439	rpmH
CFHKPG_00440	rnpA
CFHKPG_00441	yidC
CFHKPG_00442	jag
CFHKPG_00443	wcaG
CFHKPG_00444	fbaA
CFHKPG_00445	aspS
CFHKPG_00446	ptsN
CFHKPG_00447	group_1706
CFHKPG_00448	raiA
CFHKPG_00449	rpoN
CFHKPG_00450	group_4098
CFHKPG_00451	chrA
CFHKPG_00452	mscS
CFHKPG_00453	rfaB
CFHKPG_00454	holA
CFHKPG_00455	group_4363
CFHKPG_00456	uvrC
CFHKPG_00457	Fibronectin type-III domain-containing protein
CFHKPG_00458	group_1707
CFHKPG_00461	group_4005
CFHKPG_00465	dnaX
CFHKPG_00466	efbC
CFHKPG_00467	ndk
CFHKPG_00468	group_3186
CFHKPG_00469	Organic solvent tolerance-like N-terminal domain-containing protein
CFHKPG_00470	group_3352
CFHKPG_00471	pgeF
CFHKPG_00472	nIF3
CFHKPG_00473	lspA
CFHKPG_00474	NADH dehydrogenase subunit 4L
CFHKPG_00475	group_4116
CFHKPG_00476	murA
CFHKPG_00477	group_3663
CFHKPG_00478	group_4362
CFHKPG_00479	tuf
CFHKPG_00480	rpsJ
CFHKPG_00481	rplC
CFHKPG_00482	rplD
CFHKPG_00483	rplW
CFHKPG_00484	rplB
CFHKPG_00485	rpsS
CFHKPG_00486	rplV
CFHKPG_00487	rpsC
CFHKPG_00488	rplP
CFHKPG_00489	rpmC
CFHKPG_00490	rpsQ
CFHKPG_00491	rplN
CFHKPG_00492	rplX
CFHKPG_00493	rplE
CFHKPG_00494	rpsZ
CFHKPG_00495	rpsH
CFHKPG_00496	rplF
CFHKPG_00497	rplR
CFHKPG_00498	rpsE
CFHKPG_00499	rpmD
CFHKPG_00500	rplO
CFHKPG_00501	secY
CFHKPG_00502	rpmJ
CFHKPG_00503	rpsM
CFHKPG_00504	rpsK
CFHKPG_00505	rpoA
CFHKPG_00506	rplQ
CFHKPG_00507	rny
CFHKPG_00508	ymdB
CFHKPG_00509	yqxC
CFHKPG_00510	gerM
CFHKPG_00511	der
CFHKPG_00512	NlpC/P60 family protein
CFHKPG_00513	Haloacid dehalogenase-like hydrolase
CFHKPG_00514	DNA repair exonuclease SbcCD ATPase subunit
CFHKPG_00515	pheS
CFHKPG_00516	pheT
CFHKPG_00517	trxB
CFHKPG_00518	rlmB
CFHKPG_00519	group_3317
CFHKPG_00520	dnaK
CFHKPG_00521	grpE
CFHKPG_00522	nadE
CFHKPG_00523	suhB
CFHKPG_00524	group_3990
CFHKPG_00525	group_4223
CFHKPG_00526	coaX
CFHKPG_00527	pdxI
CFHKPG_00528	TIGR02757 family protein
CFHKPG_00529	Uncharacterized protein BB_0531
CFHKPG_00530	Membrane associated protein
CFHKPG_00531	phnP
CFHKPG_00532	xth
CFHKPG_00533	Flagellar filament outer layer protein
CFHKPG_00534	pqqL
CFHKPG_00537	bepA
CFHKPG_00538	group_4341
CFHKPG_00539	ybhL
CFHKPG_00540	group_1962
CFHKPG_00541	KTSC domain-containing protein
CFHKPG_00542	tadD
CFHKPG_00543	group_4483
CFHKPG_00544	prs
CFHKPG_00545	Xylulokinase
CFHKPG_00546	group_2645
CFHKPG_00547	coaE
CFHKPG_00548	polA
CFHKPG_00549	group_1710
CFHKPG_00550	fliS
CFHKPG_00551	cheY
CFHKPG_00552	ligA
CFHKPG_00553	group_4266
CFHKPG_00554	group_1712
CFHKPG_00555	cutS
CFHKPG_00556	cutB
CFHKPG_00557	ptsH
CFHKPG_00558	ptsI
CFHKPG_00559	crr
CFHKPG_00560	htpG
CFHKPG_00561	gnd
CFHKPG_00562	group_4337
CFHKPG_00563	group_4017
CFHKPG_00564	group_4057
CFHKPG_00565	group_3674
CFHKPG_00566	STAS domain-containing protein
CFHKPG_00567	cheA
CFHKPG_00568	group_3590
CFHKPG_00569	Methyl-accepting chemotaxis protein
CFHKPG_00570	group_3373
CFHKPG_00572	pyrH
CFHKPG_00573	wcaA
CFHKPG_00574	lptB
CFHKPG_00575	ABC transporter permease
CFHKPG_00576	pyrG
CFHKPG_00577	DUF1761 domain-containing protein
CFHKPG_00578	Type I restriction enzyme R protein N-terminal domain-containing protein
CFHKPG_00579	group_3709
CFHKPG_00580	dnaE
CFHKPG_00581	ycf19
CFHKPG_00582	recG
CFHKPG_00583	ldcB
CFHKPG_00584	group_3593
CFHKPG_00585	norM
CFHKPG_00586	murD
CFHKPG_00587	fmhB
CFHKPG_00588	metG
CFHKPG_00589	mtnN
CFHKPG_00590	pta
CFHKPG_00591	rsmA
CFHKPG_00592	comEC
CFHKPG_00593	ydiL
CFHKPG_00594	fAA1
CFHKPG_00595	argS
CFHKPG_00596	rnfE
CFHKPG_00597	group_3920
CFHKPG_00598	tar
CFHKPG_00599	murB
CFHKPG_00600	cysS
CFHKPG_00601	IPT/TIG domain protein
CFHKPG_00602	glyA
CFHKPG_00603	dnaJ
CFHKPG_00604	integrin-binding adhesin P66
CFHKPG_00605	lldP
CFHKPG_00606	dacC
CFHKPG_00607	cheD
CFHKPG_00608	group_4118
CFHKPG_00609	pepD
CFHKPG_00614	tig
CFHKPG_00615	clpP
CFHKPG_00616	clpX
CFHKPG_00617	lon
CFHKPG_00618	group_4463
CFHKPG_00619	rpsD
CFHKPG_00621	fieF
CFHKPG_00622	group_3175
CFHKPG_00623	cdd
CFHKPG_00624	nrnA
CFHKPG_00625	bglX
CFHKPG_00627	yajL
CFHKPG_00628	Acetate kinase
CFHKPG_00629	mfd
CFHKPG_00630	Uncharacterized conserved protein
CFHKPG_00631	lysM
CFHKPG_00633	apeB
CFHKPG_00634	Lipoprotein, putative
CFHKPG_00635	group_4499
CFHKPG_00636	pfkB
CFHKPG_00637	group_4313
CFHKPG_00639	recD
CFHKPG_00640	recB
CFHKPG_00641	Exodeoxyribonuclease V gamma subunit
CFHKPG_00642	pncB
CFHKPG_00643	zwf
CFHKPG_00644	nhaC
CFHKPG_00645	group_3611
CFHKPG_00646	potD
CFHKPG_00647	potC
CFHKPG_00648	potB
CFHKPG_00649	potA
CFHKPG_00650	ylqF
CFHKPG_00651	nanE
CFHKPG_00652	ptsG
CFHKPG_00653	yvaK
CFHKPG_00654	bosR
CFHKPG_00655	Serine/threonine kinase
CFHKPG_00656	groL
CFHKPG_00657	group_3129
CFHKPG_00658	yajC
CFHKPG_00659	secD
CFHKPG_00660	secF
CFHKPG_00661	group_1972
CFHKPG_00662	group_3375
CFHKPG_00663	psgB
CFHKPG_00664	rpiA
CFHKPG_00665	gpmA
CFHKPG_00666	lysS
CFHKPG_00667	era
CFHKPG_00668	DZANK-type domain-containing protein
CFHKPG_00669	bptA
CFHKPG_00670	UPF0127 protein
CFHKPG_00671	group_3829
CFHKPG_00672	Glycosyltransferase
CFHKPG_00673	amiC
CFHKPG_00674	Flagellar filament outsheath protein
CFHKPG_00675	flaA
CFHKPG_00676	group_3388
CFHKPG_00677	group_4476
CFHKPG_00678	cheX
CFHKPG_00679	group_3688
CFHKPG_00680	Toluene tolerance protein
CFHKPG_00681	Ion transport domain-containing protein
CFHKPG_00682	group_3261
CFHKPG_00683	gph
CFHKPG_00684	nupO
CFHKPG_00685	nupP
CFHKPG_00686	nupQ
CFHKPG_00687	group_4014
CFHKPG_00688	group_3306
CFHKPG_00689	mnmA
CFHKPG_00690	pksG
CFHKPG_00691	fni
CFHKPG_00692	hMG1
CFHKPG_00693	mvaD
CFHKPG_00694	eRG8
CFHKPG_00695	mvk
CFHKPG_00697	ykwD
CFHKPG_00698	napA
CFHKPG_00699	fusA
CFHKPG_00700	group_1977
CFHKPG_00701	ffh
CFHKPG_00702	rpsP
CFHKPG_00703	khpA
CFHKPG_00704	rimM
CFHKPG_00705	trmD
CFHKPG_00706	rplS
CFHKPG_00707	hypothetical protein
CFHKPG_00708	coaD
CFHKPG_00709	rpmF
CFHKPG_00710	acpP
CFHKPG_00711	rnc
CFHKPG_00712	pcnB
CFHKPG_00713	group_4167
CFHKPG_00714	Nucleoside transport system permease protein
CFHKPG_00717	mltG
CFHKPG_00718	dnaG
CFHKPG_00719	rpoD
CFHKPG_00720	C4-type zinc ribbon domain-containing protein
CFHKPG_00722	group_3208
CFHKPG_00723	mreB
CFHKPG_00724	mreC
CFHKPG_00725	mreD
CFHKPG_00726	mrdA
CFHKPG_00727	rodA
CFHKPG_00728	thrS
CFHKPG_00729	pgsA
CFHKPG_00730	Cytosolic protein
CFHKPG_00731	cyaB
CFHKPG_00732	trkG
CFHKPG_00733	trkA
CFHKPG_00734	flhG
CFHKPG_00735	pfkA
CFHKPG_00736	cdr
CFHKPG_00737	Transporter, dicarboxylate/amino acid:cation (Na+ or H+) symporter (Daacs) family
CFHKPG_00738	pgi
CFHKPG_00739	spo0J
CFHKPG_00740	mrcA
CFHKPG_00741	plzA
CFHKPG_00742	tsaC
CFHKPG_00743	rlpA
CFHKPG_00744	dusA
CFHKPG_00745	valS
CFHKPG_00746	lolA
CFHKPG_00747	mnmC
CFHKPG_00748	groES
CFHKPG_00749	uup
CFHKPG_00750	pQQ
CFHKPG_00751	Borrelia P83/P100 antigen
CFHKPG_00754	nth
CFHKPG_00755	yejE
CFHKPG_00756	group_3231
CFHKPG_00757	Septum formation initiator family protein
CFHKPG_00758	group_1724
CFHKPG_00759	DUF4340 domain-containing protein
CFHKPG_00760	gldG
CFHKPG_00761	nosY
CFHKPG_00762	group_3878
CFHKPG_00763	rnz
CFHKPG_00764	dadA
CFHKPG_00765	clpP2
CFHKPG_00766	group_4182
CFHKPG_00768	DUF368 domain-containing protein
CFHKPG_00769	mazG
CFHKPG_00770	group_3880
CFHKPG_00771	ntrC
CFHKPG_00772	ntrY
CFHKPG_00773	DNA polymerase III subunit gamma/tau
CFHKPG_00774	cvpA
CFHKPG_00775	murG
CFHKPG_00776	pdxK
CFHKPG_00777	tsaD
CFHKPG_00778	yibQ
CFHKPG_00779	rpoS
CFHKPG_00780	flgJ1
CFHKPG_00781	flgI
CFHKPG_00782	group_3652
CFHKPG_00783	flgG
CFHKPG_00784	flgF
CFHKPG_00785	DUF2147 domain-containing protein
CFHKPG_00786	apt
CFHKPG_00787	rplU
CFHKPG_00788	ysxB
CFHKPG_00789	rpmA
CFHKPG_00790	obgE
CFHKPG_00791	nadD
CFHKPG_00792	LytR/CpsA/Psr regulator C-terminal domain-containing protein
CFHKPG_00793	rsfS
CFHKPG_00794	spoVG
CFHKPG_00796	50S ribosomal protein L25/general stress protein Ctc
CFHKPG_00797	pth
CFHKPG_00798	tilS
CFHKPG_00799	ftsH
CFHKPG_00800	group_4105
CFHKPG_00801	tdk
CFHKPG_00802	group_4339
CFHKPG_00803	tmk
CFHKPG_00804	group_1987
CFHKPG_00805	bamA
CFHKPG_00806	hlpA
CFHKPG_00807	mutS
CFHKPG_00808	comFC
CFHKPG_00809	rimP
CFHKPG_00810	nusA
CFHKPG_00811	infB
CFHKPG_00812	rbfA
CFHKPG_00813	truB
CFHKPG_00814	rpsO
CFHKPG_00815	pnp
CFHKPG_00816	group_4094
CFHKPG_00817	lptF
CFHKPG_00818	group_3821
CFHKPG_00819	Queuine tRNA-ribosyltransferase
CFHKPG_00820	murJ
CFHKPG_00821	hEAT
CFHKPG_00822	coaBC
CFHKPG_00823	panF
CFHKPG_00824	RNA pseudouridine synthase family protein
CFHKPG_00825	ATP-binding protein
CFHKPG_00826	murC
CFHKPG_00827	yicC
CFHKPG_00828	cmk2
CFHKPG_00829	rpoZ
CFHKPG_00830	miaA
CFHKPG_00831	group_4504
CFHKPG_00832	group_4097
CFHKPG_00833	nAGPA
CFHKPG_00834	group_1990
CFHKPG_00835	hrpA
CFHKPG_00836	topA
CFHKPG_00837	sbcD
CFHKPG_00838	sbcC
CFHKPG_00839	nagC
CFHKPG_00840	group_1992
CFHKPG_00841	ileS
CFHKPG_00842	clpA
CFHKPG_00843	group_4019
CFHKPG_00844	uvrB
CFHKPG_00845	uvrA
CFHKPG_00846	lptD
CFHKPG_00847	group_1730
CFHKPG_00848	Ribonuclease H1 N-terminal domain-containing protein
CFHKPG_00849	group_1995
CFHKPG_00850	arcA
CFHKPG_00851	argF
CFHKPG_00852	yfcC
CFHKPG_00853	group_1546
CFHKPG_00854	Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain
CFHKPG_00855	group_1791
CFHKPG_00856	group_1613
CFHKPG_00857	group_2084
CFHKPG_00858	group_1795
CFHKPG_00859	group_1618
CFHKPG_00860	group_1860
CFHKPG_00861	group_2086
CFHKPG_00862	group_2362
CFHKPG_00863	group_2087
CFHKPG_00864	group_2363
CFHKPG_00865	complement regulator-acquiring protein
CFHKPG_00866	Lp6-6 family lipoprotein
CFHKPG_00867	Ribosomal protein L5
CFHKPG_00868	T cell independent antigen P32BBTI
CFHKPG_00869	Conserved domain protein
CFHKPG_00870	group_2368
CFHKPG_00871	DUF777 domain-containing protein
CFHKPG_00872	DUF693 domain-containing protein
CFHKPG_00873	Bbs27 protein
CFHKPG_00874	group_2371
CFHKPG_00875	Putative outer membrane protein BBA52
CFHKPG_00876	group_2373
CFHKPG_00877	group_2588
CFHKPG_00878	DUF1322 domain-containing protein
CFHKPG_00879	DUF1473 domain-containing protein
CFHKPG_00880	group_2376
CFHKPG_00881	group_2377
CFHKPG_00882	DUF764 domain-containing protein
CFHKPG_00883	Plasmid partition protein
CFHKPG_00884	DUF1506 domain-containing protein
CFHKPG_00885	DUF3890 domain-containing protein
CFHKPG_00886	group_2088
CFHKPG_00887	Lyme disease proteins of unknown function
CFHKPG_00888	DUF1357 domain-containing protein
CFHKPG_00889	group_2384
CFHKPG_00890	group_2089
CFHKPG_00891	Outer surface protein
CFHKPG_00892	group_2124
CFHKPG_00893	group_2090
CFHKPG_00894	group_2385
CFHKPG_00895	xtmB
CFHKPG_00896	group_2387
CFHKPG_00897	dbpB
CFHKPG_00898	group_2663
CFHKPG_00899	bppB
CFHKPG_00900	group_1528
CFHKPG_00901	chromosome replication/partitioning protein
CFHKPG_00902	group_2389
CFHKPG_00903	Plasmid partitioning associated protein-1
CFHKPG_00904	Peptide transporter
CFHKPG_00905	ospB
CFHKPG_00906	ospA
CFHKPG_00907	Outer membrane lipoprotein BBA14
CFHKPG_00908	Borrelia hemolysin accessory protein
CFHKPG_00909	group_1799
CFHKPG_00910	group_2395
